"Date","WeekDay","NumberOfLecturesToday","Tests","Projects","SportActivity","CoffeeCups","Meeting","Productivity","SleepMinutes","EnergyLevelMorning","EnergyLevelEvening","StepsCount","WorkingHours"
"2023-10-01","Sunday",0,0,0,0,0,0,"High",591,9,6,2439,0
"2023-10-02","Monday",0,0,0,0,0,0,"High",551,8,4,2540,0
"2023-10-03","Tuesday",4,0,0,0,0,0,"High",315,1,4,7483,0
"2023-10-04","Wednesday",4,0,0,0,0,1,"High",467,4,4,7425,0
"2023-10-05","Thursday",3,0,0,0,0,0,"Medium",564,9,5,3217,0
"2023-10-06","Friday",3,0,0,1,0,0,"Low",442,5,5,5541,0
"2023-10-07","Saturday",0,0,0,0,0,0,"Low",500,4,7,4017,0
"2023-10-08","Sunday",0,0,0,0,0,0,"Low",555,8,8,1432,0
"2023-10-09","Monday",1,0,0,0,0,0,"Low",537,5,2,2638,0
"2023-10-10","Tuesday",4,0,0,0,0,0,"Medium",313,2,2,8216,0
"2023-10-11","Wednesday",4,0,0,0,0,1,"High",459,3,7,9629,0
"2023-10-12","Thursday",3,0,0,0,0,0,"High",563,7,6,3784,0
"2023-10-13","Friday",3,0,0,1,0,0,"High",427,7,8,5959,0
"2023-10-14","Saturday",0,0,0,0,0,0,"Low",526,6,8,2572,0
"2023-10-15","Sunday",0,0,0,0,0,0,"Medium",562,6,6,2161,0
"2023-10-16","Monday",1,0,0,0,0,0,"Low",537,6,2,3076,0
"2023-10-17","Tuesday",4,0,0,0,0,0,"High",302,2,1,8852,0
"2023-10-18","Wednesday",4,0,0,0,0,1,"High",464,3,3,8819,0
"2023-10-19","Thursday",3,0,1,0,0,0,"High",540,5,7,2942,0
"2023-10-20","Friday",3,0,0,1,0,1,"Medium",453,7,8,4546,0
"2023-10-21","Saturday",0,0,0,0,0,0,"High",554,6,6,4370,0
"2023-10-22","Sunday",0,0,0,0,0,0,"Medium",597,10,4,3173,0
"2023-10-23","Monday",1,0,0,0,0,0,"Low",560,10,4,5400,0
"2023-10-24","Tuesday",4,0,0,0,0,0,"High",348,1,4,8156,0
"2023-10-25","Wednesday",4,0,0,0,0,0,"High",439,7,6,7202,0
"2023-10-26","Thursday",1,1,0,0,0,0,"Medium",566,5,6,3630,0
"2023-10-27","Friday",2,0,0,1,0,0,"Low",466,8,9,7905,0
"2023-10-28","Saturday",0,0,0,0,0,0,"Medium",511,5,9,3215,0
"2023-10-29","Sunday",0,0,0,0,0,0,"Medium",551,7,8,1641,0
"2023-10-30","Monday",1,1,0,0,0,0,"Medium",555,7,1,4506,0
"2023-10-31","Tuesday",4,0,0,0,0,0,"Medium",342,4,1,7441,0
"2023-11-01","Wednesday",0,0,0,0,0,0,"Medium",445,8,7,9319,0
"2023-11-02","Thursday",3,0,0,0,0,0,"Medium",553,9,6,3479,0
"2023-11-03","Friday",2,0,0,1,0,0,"Low",463,5,6,7260,0
"2023-11-04","Saturday",0,0,0,0,0,0,"High",558,4,10,1016,0
"2023-11-05","Sunday",0,0,0,0,0,0,"Medium",599,8,5,1737,0
"2023-11-06","Monday",1,0,0,0,0,0,"Medium",536,8,4,4679,0
"2023-11-07","Tuesday",4,0,0,0,0,1,"Medium",355,3,2,7319,0
"2023-11-08","Wednesday",4,0,0,0,0,1,"High",490,5,7,7690,0
"2023-11-09","Thursday",2,0,1,0,1,0,"Low",521,7,4,3894,0
"2023-11-10","Friday",0,0,0,1,0,0,"Low",431,3,7,5815,0
"2023-11-11","Saturday",0,0,0,0,0,0,"Medium",530,9,10,3172,0
"2023-11-12","Sunday",0,0,0,0,0,0,"Medium",563,9,8,3837,0
"2023-11-13","Monday",1,1,0,0,0,0,"Medium",545,8,3,4625,0
"2023-11-14","Tuesday",4,1,0,0,0,0,"High",309,2,4,7865,0
"2023-11-15","Wednesday",4,1,0,0,0,1,"High",443,4,7,6867,0
"2023-11-16","Thursday",3,0,0,0,0,0,"High",549,5,8,3041,0
"2023-11-17","Friday",2,0,0,1,0,1,"Low",428,5,7,6701,0
"2023-11-18","Saturday",0,0,0,0,0,0,"Low",547,7,6,1751,0
"2023-11-19","Sunday",0,0,0,0,0,0,"Medium",563,10,8,917,0
"2023-11-20","Monday",1,1,0,0,0,0,"Low",511,9,1,3952,0
"2023-11-21","Tuesday",4,0,0,0,0,0,"High",311,2,1,7072,0
"2023-11-22","Wednesday",4,1,0,0,0,0,"Medium",445,7,7,9054,0
"2023-11-23","Thursday",3,0,2,0,0,0,"Medium",533,10,8,2895,0
"2023-11-24","Friday",2,0,0,1,0,1,"Low",432,3,5,7577,0
"2023-11-25","Saturday",0,0,0,0,0,0,"Medium",553,7,6,3814,0
"2023-11-26","Sunday",0,0,0,0,0,0,"Medium",568,9,6,3784,0
"2023-11-27","Monday",1,1,0,0,0,0,"Medium",515,10,5,3069,0
"2023-11-28","Tuesday",4,0,0,0,0,0,"Medium",355,5,2,6764,0
"2023-11-29","Wednesday",4,0,0,0,0,1,"High",431,4,5,8879,0
"2023-11-30","Thursday",3,1,0,0,0,0,"Low",566,9,6,3456,0
"2023-12-01","Friday",2,0,0,1,0,0,"Medium",450,7,9,7185,0
"2023-12-02","Saturday",0,0,0,0,0,0,"Low",540,7,7,2587,0
"2023-12-03","Sunday",0,0,0,0,0,0,"High",593,10,6,3046,0
"2023-12-04","Monday",1,0,0,0,0,0,"Medium",518,9,4,5224,0
"2023-12-05","Tuesday",4,1,0,0,0,0,"High",303,6,1,8107,0
"2023-12-06","Wednesday",4,1,1,0,1,1,"Medium",440,4,4,7709,0
"2023-12-07","Thursday",3,0,0,0,0,1,"High",558,8,6,4348,0
"2023-12-08","Friday",2,0,0,1,0,1,"Medium",451,6,9,6264,0
"2023-12-09","Saturday",0,0,0,0,0,0,"Medium",510,6,8,3372,0
"2023-12-10","Sunday",0,0,0,0,0,0,"Low",541,7,6,1688,0
"2023-12-11","Monday",1,0,1,0,0,0,"Low",536,9,1,3129,0
"2023-12-12","Tuesday",4,1,0,0,0,0,"Medium",351,3,4,8077,0
"2023-12-13","Wednesday",4,2,0,0,0,0,"High",448,5,5,9357,0
"2023-12-14","Thursday",3,0,0,0,0,0,"High",542,7,6,5302,0
"2023-12-15","Friday",2,0,0,1,0,0,"Medium",470,3,5,5152,0
"2023-12-16","Saturday",0,0,0,0,0,0,"Medium",543,8,6,1414,0
"2023-12-17","Sunday",0,0,0,0,0,0,"Medium",567,5,7,560,0
"2023-12-18","Monday",1,0,0,0,0,0,"Low",538,5,5,3937,0
"2023-12-19","Tuesday",4,0,0,0,0,0,"High",304,4,3,8008,0
"2023-12-20","Wednesday",4,0,0,0,0,0,"High",473,3,7,7598,0
"2023-12-21","Thursday",3,0,0,0,0,1,"High",561,10,7,5862,0
"2023-12-22","Friday",2,0,1,1,0,0,"Medium",454,3,8,5684,0
"2023-12-23","Saturday",0,0,0,0,0,0,"Medium",503,5,7,3925,0
"2023-12-24","Sunday",0,0,0,0,0,0,"Low",591,6,7,3938,0
"2023-12-25","Monday",0,0,0,0,0,0,"Medium",551,5,2,5951,0
"2023-12-26","Tuesday",0,0,0,0,0,0,"Low",310,4,1,5487,0
