Year,party_detailed,candidatevotes,party_simplified
1976,DEMOCRAT,659170,DEMOCRAT
1976,REPUBLICAN,504070,REPUBLICAN
1976,AMERICAN INDEPENDENT PARTY,9198,OTHER
1976,PROHIBITION,6669,OTHER
1976,COMMUNIST PARTY USE,1954,OTHER
1976,LIBERTARIAN,1481,OTHER
1976,,308,OTHER
1976,REPUBLICAN,71555,REPUBLICAN
1976,DEMOCRAT,44058,DEMOCRAT
1976,LIBERTARIAN,6785,OTHER
1976,,1176,OTHER
1976,REPUBLICAN,418642,REPUBLICAN
1976,DEMOCRAT,295602,DEMOCRAT
1976,INDEPENDENT,19229,OTHER
1976,LIBERTARIAN,7647,OTHER
1976,SOCIALIST WORKERS,928,OTHER
1976,AMERICAN,564,OTHER
1976,AMERICAN INDEPENDENT PARTY,85,OTHER
1976,,22,OTHER
1976,DEMOCRAT,498604,DEMOCRAT
1976,REPUBLICAN,267903,REPUBLICAN
1976,INDEPENDENT,639,OTHER
1976,AMERICAN INDEPENDENT PARTY,389,OTHER
1976,REPUBLICAN,3882244,REPUBLICAN
1976,DEMOCRAT,3742284,DEMOCRAT
1976,INDEPENDENT,56388,OTHER
1976,AMERICAN INDEPENDENT PARTY,51098,OTHER
1976,PEACE & FREEDOM,41731,OTHER
1976,INDEPENDENT,17259,OTHER
1976,INDEPENDENT,12766,OTHER
1976,REPUBLICAN,584278,REPUBLICAN
1976,DEMOCRAT,460801,DEMOCRAT
1976,INDEPENDENT,26047,OTHER
1976,LIBERTARIAN,5338,OTHER
1976,PROHIBITION,2886,OTHER
1976,SOCIALIST WORKERS,1122,OTHER
1976,U.S. LABOR,565,OTHER
1976,COMMUNIST PARTY USE,403,OTHER
1976,REPUBLICAN,719261,REPUBLICAN
1976,DEMOCRAT,647895,DEMOCRAT
1976,,10309,OTHER
1976,AMERICAN INDEPENDENT PARTY,7101,OTHER
1976,U.S. LABOR,1789,OTHER
1976,DEMOCRAT,122461,DEMOCRAT
1976,REPUBLICAN,109780,REPUBLICAN
1976,NO PARTY AFFILIATION,2432,OTHER
1976,AMERICAN,645,OTHER
1976,U.S. LABOR,135,OTHER
1976,PROHIBITION,103,OTHER
1976,SOCIALIST LABOR,86,OTHER
1976,DEMOCRAT,137818,DEMOCRAT
1976,REPUBLICAN,27873,REPUBLICAN
1976,,1656,OTHER
1976,INDEPENDENT,1195,OTHER
1976,,288,OTHER
1976,DEMOCRAT,1636000,DEMOCRAT
1976,REPUBLICAN,1469531,REPUBLICAN
1976,INDEPENDENT,23643,OTHER
1976,AMERICAN,21325,OTHER
1976,,132,OTHER
1976,DEMOCRAT,979409,DEMOCRAT
1976,REPUBLICAN,483743,REPUBLICAN
1976,DEMOCRAT,147375,DEMOCRAT
1976,REPUBLICAN,140003,REPUBLICAN
1976,LIBERTARIAN,3923,OTHER
1976,REPUBLICAN,204151,REPUBLICAN
1976,DEMOCRAT,126549,DEMOCRAT
1976,AMERICAN,5935,OTHER
1976,LIBERTARIAN,3558,OTHER
1976,U.S. LABOR,739,OTHER
1976,REPUBLICAN,2364269,REPUBLICAN
1976,DEMOCRAT,2271295,DEMOCRAT
1976,INDEPENDENT,55939,OTHER
1976,COMMUNIST PARTY USE,9250,OTHER
1976,LIBERTARIAN,8057,OTHER
1976,,4417,OTHER
1976,SOCIALIST WORKERS,3615,OTHER
1976,SOCIALIST LABOR,2422,OTHER
1976,U.S. LABOR,2018,OTHER
1976,REPUBLICAN,1183958,REPUBLICAN
1976,DEMOCRAT,1014714,DEMOCRAT
1976,AMERICAN,14048,OTHER
1976,SOCIALIST WORKERS,5695,OTHER
1976,U.S. LABOR,1947,OTHER
1976,REPUBLICAN,632864,REPUBLICAN
1976,DEMOCRAT,619931,DEMOCRAT
1976,INDEPENDENT,20057,OTHER
1976,AMERICAN PARTY OF IOWA,3041,OTHER
1976,LIBERTARIAN,1454,OTHER
1976,COMMUNIST PARTY USE,551,OTHER
1976,,509,OTHER
1976,SOCIALIST WORKERS,262,OTHER
1976,U.S. LABOR,241,OTHER
1976,SOCIALIST U.S.A.,233,OTHER
1976,SOCIALIST LABOR,160,OTHER
1976,REPUBLICAN,502752,REPUBLICAN
1976,DEMOCRAT,430421,DEMOCRAT
1976,INDEPENDENT,13185,OTHER
1976,AMERICAN,4724,OTHER
1976,INDEPENDENT,3242,OTHER
1976,CONSERVATIVE,2118,OTHER
1976,PROHIBITION,1403,OTHER
1976,DEMOCRAT,615717,DEMOCRAT
1976,REPUBLICAN,531852,REPUBLICAN
1976,AMERICAN,8308,OTHER
1976,INDEPENDENT,6837,OTHER
1976,AMERICAN INDEPENDENT PARTY,2328,OTHER
1976,LIBERTARIAN,814,OTHER
1976,U.S. LABOR,510,OTHER
1976,COMMUNIST PARTY USE,426,OTHER
1976,SOCIALIST WORKERS,350,OTHER
1976,DEMOCRAT,661365,DEMOCRAT
1976,REPUBLICAN,587446,REPUBLICAN
1976,AMERICAN INDEPENDENT PARTY,10058,OTHER
1976,COMMUNIST PARTY USE,7417,OTHER
1976,INDEPENDENT,6490,OTHER
1976,LIBERTARIAN,3134,OTHER
1976,SOCIALIST WORKERS,1473,OTHER
1976,REPUBLICAN,236320,REPUBLICAN
1976,DEMOCRAT,232279,DEMOCRAT
1976,INDEPENDENT,10874,OTHER
1976,PROHIBITION,3495,OTHER
1976,DEMOCRAT,759612,DEMOCRAT
1976,REPUBLICAN,672661,REPUBLICAN
1976,DEMOCRAT,1429475,DEMOCRAT
1976,REPUBLICAN,1030276,REPUBLICAN
1976,INDEPENDENT,65637,OTHER
1976,SOCIALIST WORKERS,8138,OTHER
1976,AMERICAN,7555,OTHER
1976,U.S. LABOR,4922,OTHER
1976,,1401,OTHER
1976,LIBERTARIAN,135,OTHER
1976,SOCIALIST LABOR,19,OTHER
1976,REPUBLICAN,1893742,REPUBLICAN
1976,DEMOCRAT,1696714,DEMOCRAT
1976,INDEPENDENT,47905,OTHER
1976,LIBERTARIAN,5407,OTHER
1976,HUMAN RIGHTS,3504,OTHER
1976,SOCIALIST WORKERS,1804,OTHER
1976,U.S. LABOR,1366,OTHER
1976,SOCIALIST LABOR,1148,OTHER
1976,DEMOCRAT,1070440,DEMOCRAT
1976,REPUBLICAN,819395,REPUBLICAN
1976,MCCARTHY '76,35490,OTHER
1976,AMERICAN,13592,OTHER
1976,SOCIALIST WORKERS,4149,OTHER
1976,LIBERTARIAN,3529,OTHER
1976,COMMUNIST PARTY USE,1092,OTHER
1976,PEOPLE'S,635,OTHER
1976,INTERNATIONAL DEVELOPMENT BANK,543,OTHER
1976,INDUSTRIAL GOVERNMENT PARTY,370,OTHER
1976,SOCIALIST,354,OTHER
1976,,342,OTHER
1976,DEMOCRAT,381329,DEMOCRAT
1976,REPUBLICAN,366846,REPUBLICAN
1976,AMERICAN,6678,OTHER
1976,INDEPENDENT,4074,OTHER
1976,AMERICAN INDEPENDENT PARTY,4049,OTHER
1976,SOCIALIST WORKERS,2805,OTHER
1976,LIBERTARIAN,2609,OTHER
1976,DEMOCRAT,998387,DEMOCRAT
1976,REPUBLICAN,927443,REPUBLICAN
1976,INDEPENDENT,24029,OTHER
1976,,3741,OTHER
1976,REPUBLICAN,173703,REPUBLICAN
1976,DEMOCRAT,149259,DEMOCRAT
1976,AMERICAN,5772,OTHER
1976,REPUBLICAN,359219,REPUBLICAN
1976,DEMOCRAT,233293,DEMOCRAT
1976,INDEPENDENT,9383,OTHER
1976,AMERICAN INDEPENDENT PARTY,3378,OTHER
1976,LIBERTARIAN,1476,OTHER
1976,REPUBLICAN,101273,REPUBLICAN
1976,DEMOCRAT,92479,DEMOCRAT
1976,,5108,OTHER
1976,LIBERTARIAN,1519,OTHER
1976,AMERICAN INDEPENDENT PARTY,1497,OTHER
1976,REPUBLICAN,185935,REPUBLICAN
1976,DEMOCRAT,147645,DEMOCRAT
1976,INDEPENDENT,4095,OTHER
1976,LIBERTARIAN,936,OTHER
1976,,603,OTHER
1976,U.S. LABOR,186,OTHER
1976,SOCIALIST WORKERS,161,OTHER
1976,SOCIALIST LABOR,66,OTHER
1976,REPUBLICAN,1509688,REPUBLICAN
1976,DEMOCRAT,1444653,DEMOCRAT
1976,INDEPENDENT,32717,OTHER
1976,LIBERTARIAN,9449,OTHER
1976,AMERICAN INDEPENDENT PARTY,7716,OTHER
1976,SOCIALIST LABOR,3686,OTHER
1976,COMMUNIST PARTY USE,1662,OTHER
1976,U.S. LABOR,1650,OTHER
1976,SOCIALIST WORKERS,1184,OTHER
