country,region,health_index,obese_rate,suicide_rate,democracies_rate,hdr_rate,life_Exp,gpi,iq_rate,"Deaths per 1,000 live births",gdp_usd,Ipc
Afghanistan,ASIA (EX. NEAR EAST),28.8,5.5,4.1,0.32,0.511,62.879,3.554,82.12,44.97,490,147
Albania,EASTERN EUROPE,45,21.7,4.3,6.11,0.795,76.833,1.761,81.75,8.76,5334,111
Algeria,NORTHERN AFRICA,26.2,27.4,2.5,3.77,0.748,77.129,2.146,76,19.46,3287,253
Angola,SUB-SAHARAN AFRICA,29.1,8.2,6.1,3.37,0.581,61.929,1.982,75.1,48.34,1637,142
Argentina,LATIN AMER. & CARIB,54.4,28.3,8.4,6.81,0.845,76.064,1.911,86.63,7.61,8549,1029
Armenia,C.W. OF IND. STATES,61.8,20.2,3.3,5.49,0.776,73.372,1.992,88.82,9.74,4546,153
Australia,OCEANIA,71.1,29,12.5,8.9,0.944,83.579,1.565,99.24,3.14,51851,128
Austria,WESTERN EUROPE,56.9,20.1,14.6,8.07,0.922,82.412,1.3,98.38,2.97,48426,116
Azerbaijan,C.W. OF IND. STATES,34.7,19.9,4.1,2.68,0.756,73.488,2.437,84.81,17.32,4122,205
Bahrain,NEAR EAST,36.6,29.8,8.9,2.52,0.852,79.246,2.085,83.6,5.79,23585,101
Bangladesh,ASIA (EX. NEAR EAST),35.5,3.6,3.7,5.99,0.632,73.698,2.067,74.33,24.32,1887,332
Belarus,C.W. OF IND. STATES,43.9,24.5,21.2,2.41,0.823,73.246,2.259,101.6,2.19,6430,#N/A
Belgium,WESTERN EUROPE,59.3,22.1,18.3,7.51,0.931,82.293,1.526,97.49,3.44,44736,128
Bolivia,LATIN AMER. & CARIB,29.9,20.2,6.2,4.65,0.718,64.928,1.989,76.53,20.72,3018,108
Bosnia and Herzegovina,EASTERN EUROPE,35.4,17.9,10.9,5.04,0.78,75.293,1.85,88.54,4.95,6170,120
Botswana,SUB-SAHARAN AFRICA,33.6,18.9,16.1,7.73,0.735,65.913,1.801,69.45,36.08,5676,128
Brazil,LATIN AMER. & CARIB,51.2,22.1,6.9,6.86,0.765,73.425,2.465,83.38,13.13,6728,6408
Bulgaria,EASTERN EUROPE,59.9,25,9.7,6.64,0.816,71.528,1.541,90.99,5.14,10321,8885
Cambodia,ASIA (EX. NEAR EAST),31.1,3.9,4.9,2.9,0.594,69.896,1.882,99.75,22.05,1502,199
Cameroon,SUB-SAHARAN AFRICA,28.6,11.4,9,2.56,0.563,60.958,2.709,67.76,48.34,1464,129
Canada,NORTHERN AMERICA,69.8,29.4,11.8,8.87,0.929,82.847,1.389,99.52,4.38,42789,154
Chile,LATIN AMER. & CARIB,56.2,28,9,7.92,0.851,79.519,1.84,87.89,5.77,12880,127
China,ASIA (EX. NEAR EAST),47.5,6.2,8.1,2.21,0.761,78.587,2.01,104.1,5.47,10423,104
Colombia,LATIN AMER. & CARIB,53.2,22.3,3.9,6.48,0.767,73.659,2.729,83.13,11.35,5213,124
Costa Rica,LATIN AMER. & CARIB,40.8,25.7,8.1,8.07,0.81,77.32,1.732,88.34,6.73,11995,111
Croatia,EASTERN EUROPE,48.8,24.4,16.4,6.5,0.851,79.236,1.44,95.75,3.87,14193,121
Cuba,LATIN AMER. & CARIB,30.5,24.6,14.5,2.59,0.783,78.155,2.083,83.9,4.08,7999,#N/A
Cyprus,NEAR EAST,41.9,21.8,3.6,7.43,0.887,81.889,1.903,93.39,2.25,19714,114
Denmark,WESTERN EUROPE,64.4,19.7,10.7,9.09,0.94,81.882,1.296,97.83,3.13,60535,118
Dominican Republic,LATIN AMER. & CARIB,34.5,27.6,4.9,6.45,0.756,74.17,1.99,82.05,27.87,7029,120
Ecuador,LATIN AMER. & CARIB,50.8,19.9,7.6,5.71,0.759,77.894,1.988,78.26,11.15,5516,110
Egypt,NORTHERN AFRICA,28,32,3,2.93,0.707,70.159,2.342,76.32,16.65,3280,137
