ActorId,NameData,NameOrig,NameOrigFull,NameOrigFullEng,NameChange,NewName,NewNameFullMotherTongue,NewNameFullEng,Org,ConflictId,DyadId,PrimaryParty,OSID,OSCoalition,OSCoalitionID,NSID,NSCoalition,NSCoalitionID,Splinter,NamePrev,ActorIdPrev,SplitTemp,NameSplitTemp,ActorIdSplitTemp,Alliance,NameAlliance,ActorIdAlliance,JoinGroup,GroupName,ActorIdGroup,Location,GWNOLoc,Region,Version
2,Government of Hyderabad,Government of Hyderabad,n/a,Government of Hyderabad,0,,,,4,"11884, 226","12618, 448",1,,0,,,0,,0,,,0,,,0,,,0,,,"Hyderabad, India","751, 750",3,23.1
3,Government of United States of America,Government of United States of America,n/a,Government of United States of America,0,,,,4,"11347, 13637, 13639, 13646, 13692, 13694, 14113, 14197, 14609, 15283, 230, 232, 235, 238, 242, 249, 259, 260, 262, 293, 300, 333, 337, 350, 368, 371, 372, 412, 416, 418, 420, 430","10589, 11199, 11985, 11986, 12380, 12391, 12571, 12575, 12578, 12582, 13891, 14320, 14668, 14745, 15077, 15108, 15174, 15259, 15593, 15633, 16210, 16562, 459, 462, 482, 485, 491, 505, 523, 524, 525, 527, 529, 535, 633, 644, 726, 735, 750, 774, 796, 799, 868, 878, 883",1,,0,,"13801, 15675, 14813, 14754, 14596, 14756, 14637, 14892, 14943",0,,0,,,0,,,0,,,0,,,"North Korea, South Korea, China, Taiwan, United States of America, South Vietnam, Laos, Cuba, Vietnam (North Vietnam), Cambodia (Kampuchea), Lebanon, Afghanistan, Grenada, Panama, Iraq, Kuwait, Serbia (Yugoslavia), Somalia, Mali, Yemen (North Yemen), Central African Republic, Syria, Kenya, Libya, Niger, Iran, Israel","731, 732, 710, 713, 2, 817, 812, 40, 816, 811, 660, 700, 55, 95, 645, 690, 345, 520, 432, 678, 482, 652, 501, 620, 436, 630, 666","3, 5, 2, 1, 4",23.1
4,Government of Canada,Government of Canada,n/a,Government of Canada,0,,,,4,"11347, 14113, 235, 259, 333, 371, 412, 418","15108, 15259, 482, 524, 726, 735, 799, 868, 878",0,,0,,,0,,0,,,0,,,0,,,0,,,"North Korea, South Korea, Afghanistan, Iraq, Kuwait, Serbia (Yugoslavia), United States of America, Mali","731, 732, 700, 645, 690, 345, 2, 432","3, 2, 1, 5, 4",23.1
5,Government of Cuba,Government of Cuba,n/a,Government of Cuba,0,,,,4,"242, 268, 327, 329, 413, 436","490, 491, 560, 713, 714, 717, 869, 903",1,,0,,,0,,0,,,0,,,0,,,0,,,"Cuba, Ethiopia, Somalia, Angola","40, 520, 530, 540","5, 4",23.1
6,Government of Haiti,Government of Haiti,n/a,Government of Haiti,0,,,,4,381,"814, 815, 816, 817",1,911,0,,,0,,0,,,0,,,0,,,0,,,Haiti,41,5,23.1
7,Government of Dominican Republic,Government of Dominican Republic,n/a,Government of Dominican Republic,0,,,,4,"259, 290","13891, 523, 524, 627",1,,0,,,0,,0,,,0,,,0,,,0,,,"Dominican Republic, Iraq","42, 645","5, 2",23.1
8,Government of Trinidad and Tobago,Government of Trinidad and Tobago,n/a,Government of Trinidad and Tobago,0,,,,4,378,809,1,,0,,,0,,0,,,0,,,0,,,0,,,Trinidad and Tobago,52,5,23.1
9,Government of Grenada,Government of Grenada,n/a,Government of Grenada,0,,,,4,350,774,1,,0,,,0,,0,,,0,,,0,,,0,,,"Grenada, United States of America","2, 55",5,23.1
10,Government of Mexico,Government of Mexico,n/a,Government of Mexico,0,,,,4,"11347, 14113, 400, 416","15108, 15259, 15593, 16562, 850, 851",1,1108,0,,,0,,0,,,0,,,0,,,0,,,"Mexico, Mali, Central African Republic","70, 432, 482","5, 4",23.1
11,Government of Guatemala,Government of Guatemala,n/a,Government of Guatemala,0,,,,4,"11347, 14113, 15283, 233, 416","12380, 12391, 15108, 15259, 15593, 16562, 463, 464, 465, 466, 467, 468, 469",1,912,0,,,0,,0,,,0,,,0,,,0,,,"Guatemala, Central African Republic, Mali","90, 482, 432","5, 4",23.1
12,Government of Honduras,Government of Honduras,n/a,Government of Honduras,0,,,,4,"255, 259, 306, 371","13891, 513, 523, 524, 653, 799",1,,0,,,0,,0,,,0,,,0,,,0,,,"Honduras, Nicaragua, El Salvador, Iraq, Kuwait","91, 93, 92, 645, 690","5, 2",23.1
13,Government of El Salvador,Government of El Salvador,n/a,Government of El Salvador,0,,,,4,"11347, 14113, 259, 306, 316, 333, 372","11985, 11986, 12575, 13891, 15108, 15259, 523, 524, 525, 653, 694, 695, 696, 697, 726, 735",1,,0,,,0,,0,,,0,,,0,,,0,,,"El Salvador, Honduras, Afghanistan, Iraq, Mali","91, 92, 700, 645, 432","5, 3, 2, 4",23.1
14,Government of Nicaragua,Government of Nicaragua,n/a,Government of Nicaragua,0,,,,4,"255, 259, 336","13891, 513, 523, 524, 741, 742",1,,0,,,0,,0,,,0,,,0,,,0,,,"Honduras, Nicaragua, Iraq","91, 93, 645","5, 2",23.1
15,Government of Costa Rica,Government of Costa Rica,n/a,Government of Costa Rica,0,,,,4,225,447,1,,0,,,0,,0,,,0,,,0,,,0,,,Costa Rica,94,5,23.1
16,Government of Panama,Government of Panama,n/a,Government of Panama,0,,,,4,"367, 368","795, 796",1,,0,,,0,,0,,,0,,,0,,,0,,,"Panama, United States of America","95, 2",5,23.1
17,Government of Colombia,Government of Colombia,n/a,Government of Colombia,0,,,,4,"235, 289, 416","15558, 15593, 16562, 17247, 482, 623, 624, 625, 626",1,913,0,,,0,,0,,,0,,,0,,,0,,,"North Korea, South Korea, Colombia, Central African Republic","731, 732, 100, 482","3, 5, 4",23.1
18,Government of Venezuela,Government of Venezuela,n/a,Government of Venezuela,0,,,,4,277,"573, 574, 575",1,914,0,,,0,,0,,,0,,,0,,,0,,,"Venezuela, Colombia","101, 100",5,23.1
19,Government of Suriname,Government of Suriname,n/a,Government of Suriname,0,,,,4,357,784,1,,0,,,0,,0,,,0,,,0,,,0,,,Suriname,115,5,23.1
20,Government of Ecuador,Government of Ecuador,n/a,Government of Ecuador,0,,,,4,"403, 416","16562, 854",1,,0,,,0,,0,,,0,,,0,,,0,,,"Ecuador, Peru, Central African Republic","130, 135, 482","5, 4",23.1
21,Government of Peru,Government of Peru,n/a,Government of Peru,0,,,,4,"15283, 292, 403, 416","12380, 12391, 15593, 16562, 629, 630, 631, 632, 854",1,1116,0,,,0,,0,,,0,,,0,,,0,,,"Peru, Ecuador, Central African Republic","135, 130, 482","5, 4",23.1
22,Government of Brazil,Government of Brazil,n/a,Government of Brazil,0,,,,4,"15283, 416","12380, 12391, 15593, 16562",0,915,0,,,0,,0,,,0,,,0,,,0,,,"Brazil, Central African Republic","140, 482","5, 4",23.1
23,Government of Bolivia,Government of Bolivia,n/a,Government of Bolivia,0,,,,4,"15283, 200, 416","12380, 12391, 15593, 16562, 399, 400, 401",1,,0,,,0,,0,,,0,,,0,,,0,,,"Bolivia, Central African Republic","145, 482","5, 4",23.1
24,Government of Paraguay,Government of Paraguay,n/a,Government of Paraguay,0,,,,4,"15283, 220, 416","12380, 12391, 15593, 16562, 424, 425, 426",1,,0,,,0,,0,,,0,,,0,,,0,,,"Paraguay, Central African Republic","150, 482","5, 4",23.1
25,Government of Chile,Government of Chile,n/a,Government of Chile,0,,,,4,321,704,1,,0,,,0,,0,,,0,,,0,,,0,,,Chile,155,5,23.1
26,Government of Argentina,Government of Argentina,n/a,Government of Argentina,0,,,,4,"247, 346, 371, 416","15593, 16562, 499, 500, 501, 502, 503, 767, 799",1,,0,,,0,,0,,,0,,,0,,,0,,,"Argentina, United Kingdom, Iraq, Kuwait, Central African Republic","160, 200, 645, 690, 482","5, 1, 2, 4",23.1
27,Government of Uruguay,Government of Uruguay,n/a,Government of Uruguay,0,,,,4,319,702,1,,0,,,0,,0,,,0,,,0,,,0,,,Uruguay,165,5,23.1
28,Government of United Kingdom,Government of United Kingdom,n/a,Government of United Kingdom,0,,,,4,"11347, 13692, 14113, 207, 215, 229, 235, 239, 241, 248, 252, 258, 259, 261, 273, 280, 281, 286, 315, 317, 333, 346, 371, 372, 382, 412, 418, 420","11199, 11985, 11986, 12571, 12575, 12578, 12582, 13891, 15108, 15259, 408, 419, 455, 482, 486, 489, 504, 510, 516, 523, 524, 525, 534, 568, 578, 579, 591, 692, 693, 698, 726, 735, 767, 799, 818, 821, 868, 878, 883",1,,0,,"14637, 14892",0,,0,,,0,,,0,,,0,,,"Israel, Albania, United Kingdom, Malaysia, North Korea, South Korea, Egypt, Kenya, Cyprus, Oman, Indonesia, Brunei, South Yemen, Afghanistan, Argentina, Iraq, Kuwait, Sierra Leone, Serbia (Yugoslavia), United States of America, Mali, Syria","666, 200, 339, 820, 731, 732, 651, 501, 352, 698, 850, 835, 680, 700, 160, 645, 690, 451, 345, 2, 432, 652","2, 1, 3, 4, 5",23.1
29,Government of Ireland,Government of Ireland,n/a,Government of Ireland,0,,,,4,"11347, 14113, 333","15108, 15259, 726, 735",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Mali","700, 432","3, 4",23.1
30,Government of Netherlands,Government of Netherlands,n/a,Government of Netherlands,0,,,,4,"11347, 14113, 204, 235, 259, 276, 333, 371, 372, 412, 418","11985, 11986, 12575, 13891, 15108, 15259, 405, 482, 523, 524, 525, 572, 726, 735, 799, 868, 878",1,,0,,,0,,0,,,0,,,0,,,0,,,"Indonesia, North Korea, South Korea, Netherlands, Afghanistan, Iraq, Kuwait, Serbia (Yugoslavia), United States of America, Mali","850, 731, 732, 210, 700, 645, 690, 345, 2, 432","3, 1, 2, 5, 4",23.1
31,Government of Belgium,Government of Belgium,n/a,Government of Belgium,0,,,,4,"11347, 14113, 235, 259, 333, 371, 372, 412, 418","11985, 11986, 12571, 12575, 12578, 12582, 15108, 15259, 482, 524, 726, 735, 799, 868, 878",0,,0,,,0,,0,,,0,,,0,,,0,,,"North Korea, South Korea, Afghanistan, Iraq, Kuwait, Serbia (Yugoslavia), United States of America, Mali","731, 732, 700, 645, 690, 345, 2, 432","3, 2, 1, 5, 4",23.1
32,Government of Luxembourg,Government of Luxembourg,n/a,Government of Luxembourg,0,,,,4,"11347, 14113, 235, 333, 412","15108, 15259, 482, 726, 735, 868",0,,0,,,0,,0,,,0,,,0,,,0,,,"North Korea, South Korea, Afghanistan, Serbia (Yugoslavia), Mali","731, 732, 700, 345, 432","3, 1, 4",23.1
33,Government of France,Government of France,n/a,Government of France,0,,,,4,"11347, 13639, 13840, 14113, 15283, 201, 208, 214, 216, 219, 235, 244, 245, 246, 252, 254, 256, 257, 259, 260, 270, 272, 284, 288, 333, 353, 360, 371, 372, 412, 416, 418, 430, 442","11985, 11986, 12380, 12391, 12571, 12575, 12578, 12582, 14668, 14953, 15108, 15174, 15175, 15259, 15593, 16562, 402, 409, 418, 420, 423, 482, 495, 496, 497, 498, 510, 512, 514, 515, 524, 527, 529, 563, 567, 589, 598, 599, 600, 602, 604, 605, 726, 735, 779, 799, 868, 875, 878, 909",1,,0,,14637,0,,0,,,0,,,0,,,0,,,"Laos, France, Thailand, Cambodia (Kampuchea), Vietnam (North Vietnam), Madagascar (Malagasy), North Korea, South Korea, Tunisia, Morocco, Algeria, Mauritania, Cameroon, Gabon, Chad, Lebanon, Afghanistan, Iraq, Kuwait, Serbia (Yugoslavia), United States of America, Central African Republic, Mali, Niger, Syria, Burkina Faso","812, 220, 800, 811, 816, 580, 731, 732, 616, 600, 615, 435, 471, 481, 483, 660, 700, 645, 690, 345, 2, 482, 432, 436, 652, 439","3, 1, 4, 2, 5",23.1
34,Government of Switzerland,Government of Switzerland,n/a,Government of Switzerland,0,,,,4,"11347, 14113, 333, 372","11985, 11986, 12575, 15108, 15259, 735",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Mali","700, 432","3, 4",23.1
35,Government of Spain,Government of Spain,n/a,Government of Spain,0,,,,4,"11347, 14113, 15283, 256, 257, 259, 333, 342, 371, 412, 416, 418","12380, 12391, 13891, 15108, 15259, 15593, 16562, 514, 515, 523, 524, 726, 735, 763, 799, 868, 878",1,,0,,,0,,0,,,0,,,0,,,0,,,"Mauritania, Morocco, Spain, Afghanistan, Iraq, Kuwait, Serbia (Yugoslavia), United States of America, Central African Republic, Mali","435, 600, 230, 700, 645, 690, 345, 2, 482, 432","4, 1, 3, 2, 5",23.1
36,Government of Portugal,Government of Portugal,n/a,Government of Portugal,0,,,,4,"11347, 14113, 15283, 259, 263, 279, 285, 333, 371, 372, 412, 416, 418","11985, 11986, 12380, 12391, 12575, 13891, 15108, 15259, 15593, 16562, 523, 524, 525, 538, 539, 540, 577, 590, 726, 735, 799, 868, 878",1,,0,,,0,,0,,,0,,,0,,,0,,,"Angola, Guinea-Bissau, Mozambique, Afghanistan, Iraq, Kuwait, Serbia (Yugoslavia), United States of America, Mali, Central African Republic","540, 404, 541, 700, 645, 690, 345, 2, 432, 482","4, 3, 2, 1, 5",23.1
37,Government of Germany,Government of Germany,n/a,Government of Germany,0,,,,4,"11347, 14113, 333, 372, 412, 418","11985, 11986, 12571, 12575, 12578, 12582, 15108, 15259, 726, 735, 868, 878",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Serbia (Yugoslavia), United States of America, Mali","700, 345, 2, 432","3, 1, 5, 4",23.1
38,Government of Poland,Government of Poland,n/a,Government of Poland,0,,,,4,"259, 333, 412, 418","13891, 523, 524, 525, 726, 735, 868, 878",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Serbia (Yugoslavia), United States of America, Iraq","700, 345, 2, 645","3, 1, 5, 2",23.1
39,Government of Austria,Government of Austria,n/a,Government of Austria,0,,,,4,"11347, 14113, 333, 372","11985, 11986, 12575, 15108, 15259, 726, 735",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Mali","700, 432","3, 4",23.1
40,Government of Hungary,Government of Hungary,n/a,Government of Hungary,0,,,,4,"11347, 14113, 15283, 250, 333, 412, 416","11986, 12380, 12391, 12575, 15108, 15259, 15593, 506, 726, 735, 868",1,,0,,,0,,0,,,0,,,0,,,0,,,"Hungary, Russia (Soviet Union), Afghanistan, Serbia (Yugoslavia), Mali, Central African Republic","310, 365, 700, 345, 432, 482","1, 3, 4",23.1
41,Government of Czechoslovakia,Government of Czechoslovakia,n/a,Government of Czechoslovakia,0,,,,4,371,799,0,,0,,,0,,0,,,0,,,0,,,0,,,"Iraq, Kuwait","645, 690",2,23.1
42,Government of Czech Republic,Government of Czech Republic,n/a,Government of Czech Republic ,0,,,,4,"11347, 14113, 259, 333, 372, 412, 416, 418","11985, 11986, 12575, 13891, 15108, 15259, 15593, 16562, 523, 524, 525, 726, 735, 868, 878",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Serbia (Yugoslavia), United States of America, Iraq, Mali, Central African Republic","700, 345, 2, 645, 432, 482","3, 1, 5, 2, 4",23.1
43,Government of Slovakia,Government of Slovakia,n/a,Government of Slovakia,0,,,,4,"259, 333, 418","13891, 523, 524, 525, 726, 735, 878",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, United States of America, Iraq","700, 2, 645","3, 5, 2",23.1
44,Government of Italy,Government of Italy,n/a,Government of Italy,0,,,,4,"11347, 14113, 259, 333, 371, 372, 412, 418","11985, 11986, 12571, 12575, 12578, 12582, 13891, 15108, 15259, 523, 524, 525, 726, 735, 799, 868, 878",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Iraq, Kuwait, Serbia (Yugoslavia), United States of America, Mali","700, 645, 690, 345, 2, 432","3, 2, 1, 5, 4",23.1
45,Government of Albania,Government of Albania,n/a,Government of Albania,0,,,,4,"215, 259, 333","13891, 419, 523, 524, 525, 726, 735",1,,0,,,0,,0,,,0,,,0,,,0,,,"Albania, United Kingdom, Afghanistan, Iraq","200, 339, 700, 645","1, 3, 2",23.1
46,Government of Montenegro,Government of Montenegro,n/a,Government of Montenegro,0,,,,4,333,"726, 735",0,,0,,,0,,0,,,0,,,0,,,0,,,Afghanistan,700,3,23.1
47,Government of North Macedonia,"Government of Macedonia, FYR",n/a,"Government of Macedonia, FYR",1,Government of North Macedonia,Government of North Macedonia,Government of North Macedonia,4,"259, 333, 417","13891, 523, 524, 525, 726, 735, 877",1,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, North Macedonia, Iraq","700, 343, 645","3, 1, 2",23.1
48,Government of Croatia,Government of Croatia,n/a,Government of Croatia,0,,,,4,"333, 390, 398, 418","726, 735, 836, 837, 847, 848, 878",1,916,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Croatia, Bosnia-Herzegovina, United States of America","700, 344, 346, 2","3, 1, 5",23.1
49,Government of Serbia (Yugoslavia),Government of Serbia (Yugoslavia),n/a,Government of Yugoslavia,0,,,,4,"15283, 384, 385, 389, 390, 412, 416","12380, 12391, 15593, 16562, 824, 825, 826, 834, 835, 836, 837, 868",1,917,0,,,0,,0,,,0,,,0,,,0,,,"Serbia (Yugoslavia), Macedonia, FYR, Bosnia-Herzegovina, Croatia, Central African Republic","345, 343, 346, 344, 482","1, 4",23.1
50,Government of Bosnia-Herzegovina,Government of Bosnia-Herzegovina,n/a,Government of Bosnia-Herzegovina,0,,,,4,"11347, 14113, 259, 333, 372, 389, 397, 398","11985, 11986, 12575, 13891, 15108, 15259, 523, 524, 525, 726, 735, 834, 835, 846, 847, 848",1,918,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Bosnia-Herzegovina, Serbia (Yugoslavia), Iraq, Mali","700, 346, 345, 645, 432","3, 1, 2, 4",23.1
51,Government of Slovenia,Government of Slovenia,n/a,Government of Slovenia,0,,,,4,333,"726, 735",0,,0,,,0,,0,,,0,,,0,,,0,,,Afghanistan,700,3,23.1
52,Government of Greece,Government of Greece,n/a,Government of Greece,0,,,,4,"11347, 14113, 203, 235, 333, 371, 412, 418","15108, 15259, 404, 482, 726, 735, 799, 868, 878",1,,0,,,0,,0,,,0,,,0,,,0,,,"Greece, North Korea, South Korea, Afghanistan, Iraq, Kuwait, Serbia (Yugoslavia), United States of America, Mali","350, 731, 732, 700, 645, 690, 345, 2, 432","1, 3, 2, 5, 4",23.1
53,Government of Cyprus,Government of Cyprus,n/a,Government of Cyprus,0,,,,4,323,706,1,,0,,,0,,0,,,0,,,0,,,0,,,"Cyprus, Turkey","352, 640","1, 2",23.1
54,Government of Bulgaria,Government of Bulgaria,n/a,Government of Bulgaria,0,,,,4,"259, 333","13891, 523, 524, 525, 726, 735",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Iraq","700, 645","3, 2",23.1
55,Government of Moldova,Government of Moldova,n/a,Government of Moldova,0,,,,4,"15283, 259, 394, 416","12380, 12391, 13891, 15593, 16562, 523, 524, 525, 841",1,,0,,,0,,0,,,0,,,0,,,0,,,"Moldova, Iraq, Central African Republic","359, 645, 482","1, 2, 4",23.1
56,Government of Romania,Government of Rumania,n/a,Government of Rumania,1,Government of Romania,Government of Romania,Government of Romania,4,"11347, 14113, 15283, 259, 333, 370, 372, 416, 418","11985, 11986, 12380, 12391, 12575, 13891, 14471, 15108, 15259, 15593, 16562, 523, 524, 525, 726, 735, 798, 878",1,919,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Romania, United States of America, Iraq, Mali, Central African Republic","700, 360, 2, 645, 432, 482","3, 1, 5, 2, 4",23.1
57,Government of Russia (Soviet Union),Government of Soviet Union,n/a,Government of Soviet Union,1,Government of Russia (Soviet Union),Government of Russia (Soviet Union),Government of Russia (Soviet Union),4,"13243, 13246, 13247, 13306, 13588, 13604, 205, 206, 210, 211, 212, 213, 235, 250, 299, 305, 333, 376, 377, 393, 395, 399, 401, 414, 416, 431, 432","11973, 14117, 14124, 14184, 14210, 14619, 14620, 15100, 15101, 15593, 16562, 406, 407, 413, 414, 415, 416, 417, 482, 506, 652, 724, 725, 726, 727, 728, 729, 730, 731, 732, 807, 808, 840, 842, 849, 852, 870, 898, 899",1,920,0,,,0,,0,,,0,,,0,,,0,,,"Iran, Russia (Soviet Union), North Korea, South Korea, Hungary, China, Afghanistan, Armenia, Ukraine, Tajikistan, Georgia, Syria, Central African Republic","630, 365, 731, 732, 310, 710, 700, 371, 369, 702, 372, 652, 482","2, 1, 3, 4",23.1
58,Government of Estonia,Government of Estonia,n/a,Government of Estonia,0,,,,4,"11347, 14113, 259, 333, 372, 418","11985, 11986, 12571, 12575, 12578, 12582, 13891, 15108, 15259, 523, 524, 525, 726, 735, 878",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, United States of America, Iraq, Mali","700, 2, 645, 432","3, 5, 2, 4",23.1
59,Government of Latvia,Government of Latvia,n/a,Government of Latvia,0,,,,4,"11347, 14113, 259, 333, 372","11985, 11986, 12575, 13891, 15108, 15259, 523, 524, 525, 726, 735",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Iraq, Mali","700, 645, 432","3, 2, 4",23.1
60,Government of Lithuania,Government of Lithuania,n/a,Government of Lithuania,0,,,,4,"11347, 14113, 259, 333, 418","11986, 12575, 13891, 15108, 15259, 523, 524, 525, 726, 735, 878",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, United States of America, Iraq, Mali","700, 2, 645, 432","3, 5, 2, 4",23.1
61,Government of Ukraine,Government of Ukraine,n/a,Government of Ukraine,0,,,,4,"11347, 13219, 13243, 13246, 13247, 13306, 14113, 14692, 259, 283, 333","11377, 11982, 13891, 14085, 14117, 14124, 14184, 14210, 15100, 15101, 15108, 15259, 15998, 16129, 16286, 16823, 523, 524, 525, 726, 735",1,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Iraq, DR Congo (Zaire), Ukraine, Russia (Soviet Union), Mali","700, 645, 490, 369, 365, 432","3, 2, 4, 1",23.1
62,Government of Armenia,Government of Armenia,n/a,Government of Armenia,0,,,,4,"11347, 14113, 259, 333, 372, 388","11985, 11986, 12575, 13891, 15108, 15259, 523, 524, 525, 726, 735, 833",1,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Azerbaijan, Iraq, Mali","700, 373, 645, 432","3, 1, 2, 4",23.1
63,Government of Georgia,Government of Georgia,n/a,Government of Georgia,0,,,,4,"259, 333, 380, 392, 393","13891, 523, 524, 525, 726, 735, 812, 813, 839, 840",1,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Georgia, Iraq","700, 372, 645","3, 1, 2",23.1
64,Government of Azerbaijan,Government of Azerbaijan,n/a,Government of Azerbaijan,0,,,,4,"259, 333, 388, 396","13891, 523, 524, 525, 726, 735, 833, 844, 845",1,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Azerbaijan, Iraq","700, 373, 645","3, 1, 2",23.1
65,Government of Finland,Government of Finland,n/a,Government of Finland,0,,,,4,"11347, 14113, 333, 372","11985, 11986, 12571, 12575, 12578, 12582, 15108, 15259, 726, 735",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Mali","700, 432","3, 4",23.1
66,Government of Sweden,Government of Sweden,n/a,Government of Sweden,0,,,,4,"11347, 14113, 15283, 333, 372, 416","11985, 11986, 12380, 12391, 12571, 12575, 12578, 12582, 15108, 15259, 15593, 16562, 726, 735",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Mali, Central African Republic","700, 432, 482","3, 4",23.1
67,Government of Norway,Government of Norway,n/a,Government of Norway,0,,,,4,"11347, 14113, 259, 333, 371, 372, 412, 418","11985, 11986, 12571, 12575, 12578, 12582, 13891, 15108, 15259, 523, 524, 525, 726, 735, 799, 868, 878",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Iraq, Kuwait, Serbia (Yugoslavia), United States of America, Mali","700, 645, 690, 345, 2, 432","3, 2, 1, 5, 4",23.1
