conflict_id,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,intensity_level,cumulative_intensity,type_of_conflict,start_date,start_prec,start_date2,start_prec2,ep_end,ep_end_date,ep_end_prec,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,region,version
200,Bolivia,Government of Bolivia,23,,Popular Revolutionary Movement,719,,2,,1946,2,1,3,1946-07-18,1,1946-07-21,2,1,1946-07-21,,145,,,,145,5,23.1
201,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1946,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,23.1
202,China,Government of China,135,,PLA,161,,2,,1946,2,1,3,1946-12-31,7,1946-12-31,7,0,,,710,,,,710,3,23.1
203,Greece,Government of Greece,52,,DSE,162,,2,,1946,2,1,3,1946-03-31,4,1946-03-31,4,0,,,350,,,,350,1,23.1
204,Indonesia,Government of Netherlands,30,,Indonesian People's Army,163,,1,Indonesia,1946,1,0,1,1945-10-13,2,1946-12-31,5,0,,,210,,,,850,3,23.1
205,Iran,Government of Iran,114,,KDPI,164,Government of Russia (Soviet Union),1,Kurdistan,1946,1,0,4,1946-05-31,3,1946-05-31,3,1,1946-12-16,,630,,,365,630,2,23.1
206,Iran,Government of Iran,114,,Republic of Azerbaijan,165,Government of Russia (Soviet Union),1,Azerbaijan,1946,1,0,4,1945-11-19,1,1946-12-16,5,1,1946-12-16,,630,,,365,630,2,23.1
207,Israel,Government of United Kingdom,28,,IZL [Etzel],166,,1,Israel,1946,1,0,1,1939-03-31,4,1946-12-31,5,1,1946-12-31,,200,,,,666,2,23.1
208,Laos,Government of France,33,,Lao Issara,167,,1,Laos,1946,1,0,1,1946-03-31,4,1946-03-31,4,0,,,220,,,,812,3,23.1
209,Philippines,Government of Philippines,154,,Huk,168,,2,,1946,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,23.1
210,Russia (Soviet Union),Government of Russia (Soviet Union),57,,Forest Brothers,171,,1,Estonia,1946,1,0,3,1944-12-31,6,1946-12-31,5,0,,,365,,,,365,1,23.1
211,Russia (Soviet Union),Government of Russia (Soviet Union),57,,"LNPA, LTS(p)A","172, 173",,1,Latvia,1946,1,0,3,1945-12-31,5,1946-12-31,5,1,1946-12-31,,365,,,,365,1,23.1
212,Russia (Soviet Union),Government of Russia (Soviet Union),57,,BDPS,174,,1,Lithuania,1946,2,1,3,1946-06-30,4,1946-06-30,4,0,,,365,,,,365,1,23.1
213,Russia (Soviet Union),Government of Russia (Soviet Union),57,,UPA,175,,1,Ukraine,1946,2,1,3,1941-12-31,5,1946-12-31,5,0,,,365,,,,365,1,23.1
214,"France, Thailand",Government of France,33,,Government of Thailand,147,,1,Northern Cambodia,1946,1,0,2,1946-05-07,1,1946-05-07,1,1,1946-11-17,,220,,800,,"220, 800","1, 3",23.1
215,"Albania, United Kingdom",Government of Albania,45,,Government of United Kingdom,28,,1,Korfu Channel,1946,1,0,2,1946-10-22,1,1946-10-22,1,1,1946-12-31,,339,,200,,"200, 339",1,23.1
216,Vietnam (North Vietnam),Government of France,33,,Viet minh,176,,1,Vietnam,1946,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,23.1
201,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1947,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,23.1
202,China,Government of China,135,,PLA,161,,2,,1947,2,1,3,1946-12-31,7,1946-12-31,7,0,,,710,,,,710,3,23.1
203,Greece,Government of Greece,52,,DSE,162,,2,,1947,2,1,3,1946-03-31,4,1946-03-31,4,0,,,350,,,,350,1,23.1
204,Indonesia,Government of Netherlands,30,,Indonesian People's Army,163,,1,Indonesia,1947,1,0,1,1945-10-13,2,1946-12-31,5,0,,,210,,,,850,3,23.1
208,Laos,Government of France,33,,Lao Issara,167,,1,Laos,1947,1,0,1,1946-03-31,4,1946-03-31,4,0,,,220,,,,812,3,23.1
209,Philippines,Government of Philippines,154,,Huk,168,,2,,1947,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,23.1
210,Russia (Soviet Union),Government of Russia (Soviet Union),57,,Forest Brothers,171,,1,Estonia,1947,1,1,3,1944-12-31,6,1946-12-31,5,0,,,365,,,,365,1,23.1
212,Russia (Soviet Union),Government of Russia (Soviet Union),57,,BDPS,174,,1,Lithuania,1947,2,1,3,1946-06-30,4,1946-06-30,4,0,,,365,,,,365,1,23.1
213,Russia (Soviet Union),Government of Russia (Soviet Union),57,,UPA,175,,1,Ukraine,1947,2,1,3,1941-12-31,5,1946-12-31,5,0,,,365,,,,365,1,23.1
216,Vietnam (North Vietnam),Government of France,33,,Viet minh,176,,1,Vietnam,1947,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,23.1
