country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,179267,7690.0,162202.0,9375.0,1124.0,4420,190.0,951337.0,23455.0,40560636
Albania,Europe,275574,3497.0,271826.0,251.0,2.0,95954,1218.0,1817530.0,632857.0,2871945
Algeria,Africa,265816,6875.0,178371.0,80570.0,6.0,5865,152.0,230861.0,5093.0,45325517
Andorra,Europe,42156,153.0,41021.0,982.0,14.0,543983,1974.0,249838.0,3223924.0,77495
Angola,Africa,99194,1900.0,97149.0,145.0,,2853,55.0,1499795.0,43136.0,34769277
Anguilla,North America,2984,9.0,2916.0,59.0,4.0,195646,590.0,51382.0,3368870.0,15252
Antigua And Barbuda,North America,7721,137.0,7511.0,73.0,1.0,77646,1378.0,18901.0,190076.0,99439
Argentina,South America,9101319,128729.0,8895999.0,76591.0,372.0,197992,2800.0,35716069.0,776974.0,45968174
Armenia,Asia,422896,8623.0,412048.0,2225.0,,142219,2900.0,3068217.0,1031834.0,2973558
Aruba,North America,35693,213.0,35199.0,281.0,,331689,1979.0,177885.0,1653053.0,107610
Australia,Australia/Oceania,6593795,7794.0,6199822.0,386179.0,129.0,253112,299.0,70885598.0,2721042.0,26050899
Austria,Europe,4212492,18303.0,4135885.0,58304.0,58.0,462804,2011.0,185034905.0,20328801.0,9102106
Azerbaijan,Asia,792638,9709.0,782869.0,60.0,,76885,942.0,6838458.0,663324.0,10309383
Bahamas,North America,33871,801.0,32488.0,582.0,,84626,2001.0,233473.0,583330.0,400242
Bahrain,Asia,576997,1479.0,569758.0,5760.0,4.0,318491,816.0,9775981.0,5396149.0,1811659
Bangladesh,Asia,1953012,29127.0,1899419.0,24466.0,1273.0,11643,174.0,14051455.0,83767.0,167745162
Barbados,North America,76261,433.0,71497.0,4331.0,,264768,1503.0,669421.0,2324136.0,288030
Belarus,Europe,982867,6978.0,,,,104078,739.0,13220483.0,1399951.0,9443535
Belgium,Europe,4116397,31613.0,3941350.0,143434.0,117.0,352324,2706.0,33846023.0,2896893.0,11683561
Belize,North America,57896,676.0,56761.0,459.0,6.0,140843,1644.0,549217.0,1336070.0,411069
Benin,Africa,26952,163.0,25506.0,1283.0,5.0,2120,13.0,604310.0,47530.0,12714341
Bermuda,North America,14135,135.0,13664.0,336.0,,228537,2183.0,893980.0,14454002.0,61850
Bhutan,Asia,59570,21.0,59491.0,58.0,,75651,27.0,2303690.0,2925573.0,787432
Bolivia,South America,906146,21943.0,863665.0,20538.0,220.0,75704,1833.0,2705422.0,226025.0,11969554
Bosnia And Herzegovina,Europe,377511,15778.0,,,,116414,4866.0,1767199.0,544957.0,3242823
Botswana,Africa,306324,2690.0,303026.0,608.0,1.0,125541,1102.0,2026898.0,830683.0,2440037
Brazil,South America,30682094,664920.0,29718402.0,298772.0,8318.0,142460,3087.0,63776166.0,296119.0,215373503
British Virgin Islands,North America,6573,62.0,,,1.0,214762,2026.0,103637.0,3386166.0,30606
Brunei Darussalam,Asia,144659,220.0,142788.0,1651.0,,324871,494.0,717784.0,1611980.0,445281
Bulgaria,Europe,1161504,37045.0,1014302.0,110157.0,54.0,169536,5407.0,9924259.0,1448573.0,6851060
Burkina Faso,Africa,20853,382.0,20439.0,32.0,,949,17.0,248995.0,11333.0,21970296
Burundi,Africa,41235,38.0,,,,3286,3.0,345742.0,27549.0,12549999
Cabo Verde,Africa,56105,401.0,55613.0,91.0,23.0,98910,707.0,400982.0,706908.0,567234
Cambodia,Asia,136262,3056.0,133194.0,12.0,,7945,178.0,2961934.0,172709.0,17149867
Cameroon,Africa,119780,1927.0,117791.0,62.0,13.0,4312,69.0,1751774.0,63068.0,27776053
Canada,North America,3821346,40228.0,3499564.0,281554.0,423.0,99622,1049.0,61436458.0,1601640.0,38358465
Caribbean Netherlands,North America,9915,35.0,9829.0,51.0,,371668,1312.0,30126.0,1129287.0,26677
Cayman Islands,North America,23578,28.0,8553.0,14997.0,1.0,351077,417.0,222773.0,3317098.0,67159
Central African Republic,Africa,14649,113.0,6859.0,7677.0,2.0,2938,23.0,81294.0,16304.0,4986136
Chad,Africa,7414,193.0,4874.0,2347.0,,428,11.0,191341.0,11058.0,17303260
Channel Islands,Europe,75275,173.0,74574.0,528.0,,425648,978.0,1252808.0,7084095.0,176848
Chile,South America,3605522,57722.0,3468131.0,79669.0,159.0,185643,2972.0,37693651.0,1940790.0,19421812
China Hong Kong Sar,Asia,1208506,9361.0,,,5.0,158800,1230.0,44972952.0,5909516.0,7610260
China Macao Sar,Asia,82,,82.0,0.0,,123,,5375.0,8073.0,665819
China,Asia,221804,5209.0,210454.0,6141.0,383.0,154,4.0,160000000.0,111163.0,1439323776
Colombia,South America,6095316,139821.0,5928829.0,26666.0,342.0,117459,2694.0,34675581.0,668214.0,51892950
Comoros,Africa,8100,160.0,7933.0,7.0,,8959,177.0,,,904091
Congo,Africa,24079,385.0,20178.0,3516.0,,4172,67.0,347815.0,60270.0,5770949
Cook Islands,Australia/Oceania,5410,1.0,5291.0,118.0,,307491,57.0,17469.0,992895.0,17594
Costa Rica,North America,866164,8444.0,841683.0,16037.0,48.0,167189,1630.0,4401922.0,849668.0,5180753
Cote D Ivoire,Africa,81989,799.0,81168.0,22.0,,2971,29.0,1509861.0,54716.0,27594347
Croatia,Europe,1131450,15930.0,1111405.0,4115.0,15.0,278811,3925.0,4838151.0,1192212.0,4058130
Cuba,North America,1104589,8529.0,1095534.0,526.0,23.0,97633,754.0,12920253.0,1141997.0,11313741
Curacao,North America,43017,275.0,42203.0,539.0,3.0,260168,1663.0,496693.0,3004016.0,165343
Cyprus,Asia,477711,1032.0,124370.0,352309.0,60.0,390374,843.0,9477138.0,7744481.0,1223728
Czech Republic,Europe,3915847,40245.0,3871654.0,3948.0,14.0,364401,3745.0,55323981.0,5148342.0,10745981
Democratic Republic Of The Congo,Africa,87023,1337.0,50930.0,34756.0,,920,14.0,846704.0,8948.0,94629737
Denmark,Europe,2976667,6287.0,2960386.0,9994.0,12.0,510561,1078.0,127345763.0,21842472.0,5830190
Djibouti,Africa,15631,189.0,15427.0,15.0,,15404,186.0,305941.0,301492.0,1014756
Dominica,North America,12685,63.0,12323.0,299.0,,175403,871.0,194894.0,2694921.0,72319
Dominican Republic,North America,580412,4376.0,575583.0,453.0,1.0,52524,396.0,3305829.0,299156.0,11050510
Ecuador,South America,872268,35607.0,,,759.0,48080,1963.0,2470170.0,136158.0,18141962
Egypt,Africa,515645,24613.0,442182.0,48850.0,122.0,4868,232.0,3693367.0,34867.0,105928386
El Salvador,North America,162089,4129.0,150662.0,7298.0,8.0,24757,631.0,1950448.0,297908.0,6547158
Equatorial Guinea,Africa,15910,183.0,15701.0,26.0,5.0,10687,123.0,317211.0,213068.0,1488778
Eritrea,Africa,9745,103.0,9632.0,10.0,,2679,28.0,23693.0,6513.0,3637828
Estonia,Europe,573922,2556.0,514836.0,56530.0,3.0,432106,1924.0,3345340.0,2518710.0,1328196
Ethiopia,Africa,470937,7510.0,455757.0,7670.0,8.0,3916,62.0,4836364.0,40214.0,120265111
Faeroe Islands,Europe,34658,28.0,7693.0,26937.0,5.0,704302,569.0,778000.0,15810116.0,49209
Falkland Islands Malvinas,South America,1126,,,,,306896,,8632.0,2352685.0,3669
Fiji,Australia/Oceania,64773,862.0,62875.0,1036.0,,71293,949.0,517703.0,569817.0,908543
Finland,Europe,1069740,4284.0,,,21.0,192512,771.0,10832080.0,1949355.0,5556750
France,Europe,29160802,147257.0,28156674.0,856871.0,1329.0,444914,2247.0,271490188.0,4142201.0,65542502
French Guiana,South America,81784,397.0,11254.0,70133.0,1.0,261212,1268.0,631628.0,2017375.0,313094
French Polynesia,Australia/Oceania,72821,649.0,,,7.0,256473,2286.0,,,283932
Gabon,Africa,47608,304.0,47297.0,7.0,,20490,131.0,1594523.0,686256.0,2323511
Gambia,Africa,11999,365.0,11591.0,43.0,,4718,144.0,155686.0,61220.0,2543054
Georgia,Asia,1655221,16811.0,1637293.0,1117.0,,416417,4229.0,16920079.0,4256722.0,3974908
Germany,Europe,25780226,137919.0,23956700.0,1685607.0,1279.0,305877,1636.0,122332384.0,1451450.0,84282880
Ghana,Africa,161280,1445.0,159788.0,47.0,1.0,4996,45.0,2442206.0,75655.0,32280617
Gibraltar,Europe,18129,102.0,16579.0,1448.0,,538400,3029.0,534283.0,15867278.0,33672
Greece,Europe,3392575,29547.0,3306014.0,57014.0,176.0,328475,2861.0,81233888.0,7865209.0,10328255
Greenland,North America,11971,21.0,2761.0,9189.0,4.0,210191,369.0,164926.0,2895826.0,56953
Grenada,North America,16344,221.0,14634.0,1489.0,4.0,144008,1947.0,157363.0,1386531.0,113494
Guadeloupe,North America,140130,854.0,2250.0,137026.0,19.0,350105,2134.0,938039.0,2343627.0,400251
Guatemala,North America,851877,17792.0,831794.0,2291.0,5.0,45966,960.0,4543522.0,245163.0,18532670
Guinea Bissau,Africa,8222,171.0,8010.0,41.0,6.0,4002,83.0,136655.0,66512.0,2054599
Guinea,Africa,36597,442.0,36113.0,42.0,8.0,2653,32.0,660107.0,47848.0,13795931
Guyana,South America,63804,1228.0,62301.0,275.0,,80396,1547.0,610906.0,769770.0,793621
Haiti,North America,30713,835.0,29605.0,273.0,,2634,72.0,132422.0,11356.0,11661401
Holy See,Europe,29,,29.0,0.0,,36025,,,,805
Honduras,North America,424390,10896.0,132358.0,281136.0,105.0,41615,1068.0,1365056.0,133856.0,10197959
Hungary,Europe,1909948,46343.0,1821435.0,42170.0,29.0,198649,4820.0,11394556.0,1185122.0,9614673
Iceland,Europe,186545,120.0,,,,540134,347.0,2264004.0,6555338.0,345368
India,Asia,43121599,524214.0,42579693.0,17692.0,698.0,30686,373.0,843836914.0,600479.0,1405273033
Indonesia,Asia,6050776,156458.0,5889534.0,4784.0,2771.0,21694,561.0,97245391.0,348662.0,278910317
Iran,Asia,7228051,141224.0,7020835.0,65992.0,737.0,84052,1642.0,51771715.0,602031.0,85995095
Iraq,Asia,2326458,25216.0,2299985.0,1257.0,10.0,55520,602.0,18529376.0,442197.0,41902979
Ireland,Europe,1535451,7203.0,1499879.0,28369.0,28.0,304622,1429.0,12144747.0,2409429.0,5040509
Isle Of Man,Europe,28416,105.0,26794.0,1517.0,,330915,1223.0,150753.0,1755575.0,85871
Israel,Asia,4106793,10749.0,4081150.0,14894.0,150.0,440360,1153.0,41373364.0,4436346.0,9326000
Italy,Europe,17057873,165244.0,15894511.0,998118.0,347.0,282901,2741.0,217853667.0,3613054.0,60296265
Jamaica,North America,131980,2995.0,84883.0,44102.0,,44211,1003.0,1031235.0,345445.0,2985238
Japan,Asia,8338211,30039.0,7951587.0,356585.0,139.0,66305,239.0,50444181.0,401129.0,125755488
Jordan,Asia,1694216,14048.0,1678941.0,1227.0,124.0,163034,1352.0,16670254.0,1604177.0,10391780
Kazakhstan,Asia,1305636,13661.0,1291669.0,306.0,24.0,68020,712.0,11575012.0,603023.0,19194987
Kenya,Africa,324026,5649.0,318142.0,235.0,,5789,101.0,3630986.0,64866.0,55976553
Kiribati,Australia/Oceania,3093,13.0,2602.0,478.0,3.0,25175,106.0,,,122862
Kuwait,Asia,632074,2555.0,629114.0,405.0,3.0,144040,582.0,8071763.0,1839430.0,4388186
