Date,City,State,AreaType,School,Fatalities,Wounded,Dupe,Source,Desc,,
3/27/1990,Brooklyn,New York,,C,0,1,,Wikp,"A black youth was taunted with racial slurs by three white youths in the stairwell of a public school in the Bensonhurst area of Brooklyn. The 14-year-old was then shot and slightly wounded, because he had acted as peacemaker when the same boys had clashed with another black teen the month before.[240]",,
5/20/1990,Centerville,Tennessee,suburban,HS,1,,,Pah,,,
8/26/1990,Las Vegas,Nevada,urban,HS,1,,,Pah,,,
9/11/1990,San Antonio,Texas,,HS,0,3,,Wikp,"3 students were wounded when gunfire broke out at Sam Houston High School. The incident took place at 11:55 a.m. and was gang related. 17-year-old John Campbell was wounded in the right foot, 18-year-old Larry Johnson was wounded in the right thigh and calf, and a 16-year-old received a chest wound. 18-year-old Kenneth Wolford, and two other male students were arrested and charged.[241]",,
1/8/1991,Richardson,Texas,urban,HS,0,,,Pah,,,
2/6/1991,Donna,Texas,,HS,1,0,,Wikp,15-year-old Raul Calvo shot himself dead while playing Russian roulette inside a biology classroom at Donna High School.[242],,
4/23/1991,Compton,California,urban,MS,1,,TRUE,Pah,,,
4/23/1991,Compton,California,,MS,1,0,,Wikp,"A teenager aimed and fired a handgun at a security guard who had chased him and three friends off the grounds of Ralph J. Bunche Middle School. He instead killed 11-year-old Alejandro Vargas, a bystander and student at the school.[243]",,
9/18/1991,Crosby,Texas,rural,HS,1,,TRUE,Pah,,,
9/18/1991,Crosby,Texas,,HS,1,0,,Wikp,"17-year-old Arthur Jermel Jack, was killed by 15-year-old LaKeeta Cadoree, in the cafeteria at Crosby High School.[244]",,
10/8/1991,Bronx,New York,urban,HS,1,,,Pah,,,
11/1/1991,Iowa City,Iowa,urban,C,5,,TRUE,Pah,,,
11/1/1991,Iowa City,Iowa,,C,6,1,,Wikp,"University of Iowa shooting: 28-year-old former graduate student, Gang Lu, killed four members of University of Iowa's faculty and a research student, and seriously wounded another student. 47-year-old professor of physics and astronomy, Christoph K. Goertz, 45-year-old associate professor of physics and astronomy, Robert Alan Smith, 44-year-old chairman of the physics and astronomy department, Dwight R. Nicholson, 56-year-old associate vice president for academic affairs, Dr. Theresa Anne Cleary, shot in the head and died the following day, and 27-year-old research investigator in physics and astronomy, Dr. Shan Linhua. 23-year-old Miya Rodolfo-Sioson, Dr. Cleary's temporary student receptionist in the grievance office, survived but was left paralyzed from the neck down. Lu then shot himself in the head, he died shortly after police arrived.[245][246][247][248]",,
11/14/1991,Houston,Texas,urban,HS,0,,,Pah,,,
11/25/1991,Brooklyn,New York,urban,HS,1,,TRUE,Pah,,,
11/25/1991,Brooklyn,New York,,HS,1,0,,Wikp,"Thomas Jefferson High School shooting: During an argument between two teens, a stray bullet killed a third, uninvolved 16-year-old student. In 1992, 14-year-old shooter Jason Bentley, was sentenced to three to nine years in prison.[235]",,
12/12/1991,Kent,Ohio,,C,1,0,,Wikp,"51-year-old custodian, John Frazier, was killed outside a campus auditorium of Kent State University.[249]",,
1/29/1992,Kent,Ohio,,C,0,1,,Wikp,"26-year-old graduate student, Sarah Smith, was wounded in the chest as she was waiting for her husband to pick her up at Kent State University.[250]",,
2/26/1992,Brooklyn,New York,urban,HS,2,,TRUE,Pah,,,
2/26/1992,Brooklyn,New York,,HS,2,0,,Wikp,"Thomas Jefferson High School second shooting: 15-year-old Kahlil Sumpter, killed fellow students, 16-year-old Tyrone Sinkler and 17-year-old Ian Moore, on the school's second-floor hallway.[251] In 1993, he was sentenced to between 6⅔ and twenty years in prison. He was released on parole in 1998.[235]",,
5/1/1992,Olivehurst,California,suburban,HS,4,,TRUE,Pah,,,
5/1/1992,Olivehurst,California,,HS,3,10,,Wikp,"Lindhurst High School shooting: Former student, 20-year-old Eric Houston, killed three students and one teacher, and wounded nine other students and teacher before surrendering to police.[180][235]",,
5/14/1992,Napa,California,urban,MS,0,,,Pah,,,
9/11/1992,Lincoln,Texas,urban,HS,0,,,Pah,,,
10/12/1992,Lincoln,Nebraska,urban,C,0,,,Pah,,,
10/12/1992,Tucson,Arizona,urban,HS,1,,,Pah,,,
10/19/1992,The Bronx,New York,,HS,0,3,,Wikp,Two 14-year-old girls and a 16-year-old boy were shot at outside a Bronx high school.[252],,
11/4/1992,Detroit,Michigan,,HS,0,11,,Wikp,"11 students were hit by gunfire during a four-hour period in three separate school incidents, five were hospitalized. Six students at Finney High School were grazed by buckshot after three ski-masked gunmen opened fire in a crowded hallway. A 14-year-old was in custody for shooting three Foch Middle School students as they passed by the Marcus Garvey Academy. In the third incident, 16-year-old DeWayne Boyd was hit in the chest, when shots were fired at two Mumford High School students.[253]",,
11/10/1992,Chicago,Illinois,urban,ES,0,,,Pah,,,
11/13/1992,Houston,Texas,urban,HS,1,,,Pah,,,
11/16/1992,Birmingham,Alabama,urban,HS,1,,,Pah,,,
11/20/1992,Chicago,Illinois,urban,HS,1,,,Pah,,,
11/23/1992,Buffalo,New York,urban,HS,0,,,Pah,,,
12/3/1992,Chicago,Illinois,urban,ES,1,,,Pah,,,
12/14/1992,Great Barrington,Massachusetts,suburban,C,2,,,Pah,,,
12/14/1992,Great Barrington,Massachusetts,,C,2,4,,Wikp,"Wayne Lo, a student at Bard College at Simon's Rock, shot and killed one student and one professor, wounded three students and a security guard. After his rifle jammed, Lo later surrendered to authorities without further incident.[254]",,
1/6/1993,Brentwood,New York,,HS,0,1,,Wikp,"Brentwood High School. Former student, Matthew Hunter, was shot by two gunmen during a basketball game between Brentwood High School and Sachem High School. The assault was over a dispute about the theft of a gold chain.[255]",,
1/8/1993,Kinzers,Pennsylvania,rural,HS,1,,,Pah,,,
1/12/1993,Miami,Florida,urban,HS,1,,,Pah,,,
