Rok,Średni_miasta,Średni_wies,Niski_miasta,Niski_wies,Wysoki_miasta,Wysoki_wies,Bardzowysoki_miasta,Bardzowysoki_wies
2011,1.21,1.43,1.21,1.43,1.21,1.43,1.21,1.43
2012,1.21,1.43,1.21,1.43,1.21,1.43,1.21,1.43
2013,1.18,1.37,1.18,1.37,1.18,1.37,1.18,1.37
2014,1.15,1.36,1.14,1.33,1.18,1.39,1.19,1.40
2015,1.15,1.35,1.11,1.31,1.19,1.40,1.21,1.42
2016,1.15,1.36,1.10,1.30,1.20,1.41,1.25,1.45
2017,1.16,1.36,1.11,1.31,1.22,1.43,1.28,1.48
2018,1.19,1.38,1.13,1.33,1.24,1.45,1.32,1.51
2019,1.21,1.40,1.16,1.36,1.26,1.47,1.36,1.54
2020,1.23,1.41,1.19,1.37,1.29,1.48,1.40,1.57
2025,1.31,1.46,1.25,1.41,1.38,1.54,1.55,1.68
2030,1.37,1.50,1.27,1.42,1.45,1.58,1.63,1.74
2035,1.41,1.52,1.28,1.43,1.52,1.63,1.69,1.79
2040,1.44,1.54,1.29,1.44,1.58,1.67,1.74,1.83
2045,1.47,1.55,1.30,1.45,1.63,1.71,1.78,1.86
2050,1.49,1.56,1.31,1.45,1.66,1.73,1.82,1.89
2055,1.51,1.56,1.31,1.45,1.66,1.73,1.82,1.89
2060,1.52,1.57,1.31,1.46,1.69,1.75,1.85,1.91
2065,1.54,1.58,1.32,1.46,1.71,1.77,1.88,1.94
2070,1.55,1.58,1.32,1.46,1.73,1.78,1.91,1.96
