"word","count"
"to",4689
"nie",4354
"na",2984
"w",2630
"i",2557
"się",2356
"ale",2169
"ja",2000
"jak",1973
"a",1914
"tak",1783
"z",1692
"jest",1631
"no",1514
"bo",1502
"że",1358
"do",1296
"o",1150
"co",1000
"już",818
"mam",784
"jeszcze",777
"wiem",691
"po",681
"tylko",672
"czy",651
"też",624
"chyba",606
"za",589
"dobra",578
"mi",572
"ty",555
"teraz",542
"tam",520
"masz",509
"hahah",487
"dzisiaj",478
"coś",477
"będzie",470
"może",464
"2",459
"ej",452
"ma",440
"mogę",433
"od",428
"bardzo",426
"mnie",420
"tym",411
"dobrze",408
"jutro",397
"więc",397
"być",388
"było",377
"tego",376
"ci",375
"będę",371
"ze",367
"właśnie",352
"sobie",340
"trzeba",310
"żeby",303
"ten",299
"wgl",275
"pewnie",269
"3",263
"są",263
"xd",261
"xdd",259
"jestem",258
"1",256
"wtedy",242
"sensie",236
"u",236
"zrobić",236
"albo",234
"trochę",227
"muszę",225
"wsm",222
"takie",220
"kurde",214
"git",212
"nawet",211
"bym",210
"możesz",209
"on",209
"gdzie",208
"nic",207
"czyli",203
"dużo",203
"te",199
"okej",195
"dla",191
"będziesz",188
"kiedy",187
"bartek",186
"wideo",184
"wszystko",184
"xddd",182
"prostu",178
"10",176
"https",176
"zaraz",175
"ciebie",172
"15",171
"my",169
"mamy",168
"razie",168
"by",163
"jesteś",161
"znaczy",160
"30",158
"ile",157
"go",156
"pewno",155
"minut",153
"tomek",151
"można",150
"raczej",149
"ta",149
"chcesz",147
"lepiej",147
"sumie",147
"trening",146
"dzięki",145
"5",140
"potem",139
"dokładnie",137
"jakieś",137
"tą",137
"sie",135
"przed",133
"myślę",132
"kurwa",131
"ogólnie",131
"taki",131
"jakoś",130
"serio",130
"zawsze",130
"4",128
"mecz",128
"wiesz",128
"miał",126
"wygląda",125
"tu",123
"tej",122
"kto",120
"rano",120
"razem",120
"20",119
"jeżeli",116
"domu",115
"więcej",115
"sam",113
"miałem",111
"przez",110
"aś",109
"możemy",109
"raz",109
"spoko",109
"był",108
"chodzi",108
"nas",108
"bardziej",101
"prawie",101
"niż",100
"super",99
"bez",98
"której",98
"myślałem",98
"akurat",97
"działa",97
"musisz",97
"6",96
"wczoraj",95
"dam",94
"cie",92
"ktoś",92
"mega",91
"wcześniej",91
"0",90
"12",90
"chce",89
"jakby",89
"kiedyś",89
"samo",89
"16",88
"da",88
"mieć",88
"que",88
"czasu",87
"pod",87
"prawda",87
"rozumiem",87
"jakie",85
"rzeczy",85
"siebie",85
"szczerze",85
"wy",85
"chociaż",84
"natalka",84
"oki",84
"spać",84
"czat",83
"mu",83
"oraz",83
"wszystkie",83
"czemu",82
"11",81
"tyle",81
"kurcze",80
"czego",78
"dzień",78
"jakiś",78
"dobry",77
"fajnie",77
"macie",77
"przy",77
"razu",77
"taka",77
"tych",77
"widzę",77
"byłem",76
"aż",75
"czwartek",75
"dołączyłeś",75
"was",75
"13",74
"była",74
"robić",74
"14",72
"cały",72
"juz",72
"karolina",72
"nam",72
"później",72
"dalej",71
"informacje",71
"18",70
"treningu",70
"wziąć",70
"7",69
"były",69
"idzie",69
"iść",69
"jaki",69
"jeden",69
"piątek",69
"przykład",69
"zakończył",69
"8",68
"gdzieś",68
"takim",68
"źle",68
"dopiero",67
"jednak",67
"wiec",67
"zosia",67
"17",66
"analizy",66
"będziemy",66
"musi",66
"wam",65
"9",64
"dlatego",64
"jako",64
"weekend",64
"rady",63
"szybko",63
"możecie",62
"niedzielę",62
"takiego",62
"chciałem",61
"czas",61
"hahahah",61
"normalnie",61
"oj",61
"czasami",60
"czatu",60
"radę",60
"widziałem",60
"meczu",59
"x",59
"przecież",58
"00",57
"19",57
"niego",57
"ona",57
"wszyscy",57
"chętnie",56
"ciekawe",56
"inaczej",56
"jechać",56
"sobotę",56
"wlasnie",56
"analiza",55
"chuj",55
"ogóle",55
"powiedzieć",55
"wieczorem",55
"ani",54
"jadę",54
"pytanie",54
"we",54
"zależy",54
"zrobię",54
"bartka",53
"brzmi",53
"koło",53
"ogarnąć",53
"razy",53
"tez",53
"y",53
"drodze",52
"końca",52
"si",52
"tutaj",52
"wawie",52
"jej",51
"mniej",51
"nigdy",51
"oczywiście",51
"you",51
"de",50
"grupy",50
"musimy",50
"n",50
"powiedział",50
"tomasz",50
"udało",50
"wiadomości",50
"który",49
"niestety",49
"nim",49
"robię",49
"sorki",49
"temu",49
"zrobiłem",49
