"word","count"
"to",2186
"nie",2069
"na",1312
"i",1250
"się",1156
"w",1114
"ale",1059
"no",1021
"ja",970
"jak",910
"z",858
"xd",791
"tak",745
"jest",644
"a",629
"bo",522
"co",516
"do",513
"że",454
"mam",428
"chyba",419
"nwm",414
"o",410
"mi",368
"czy",320
"już",320
"może",317
"za",304
"mnie",301
"xdd",298
"ze",297
"ma",271
"tam",270
"też",269
"jeszcze",262
"wgl",231
"po",225
"dobrze",221
"więc",208
"tylko",207
"ci",205
"ok",204
"bardzo",201
"coś",198
"dobra",194
"będzie",193
"sie",186
"tzn",186
"xddd",185
"tez",181
"było",179
"jestem",177
"ty",174
"albo",173
"te",171
"masz",167
"super",167
"wsm",167
"być",164
"mogę",160
"tego",158
"właśnie",158
"https",157
"tym",156
"sb",155
"oki",152
"wiec",148
"od",146
"wiem",144
"nic",143
"pewnie",143
"chce",142
"ten",142
"teraz",142
"spoko",140
"są",139
"serio",137
"takie",136
"noo",134
"1",133
"dla",129
"będę",126
"trochę",126
"żeby",122
"trzeba",115
"2",110
"nawet",110
"on",108
"tu",108
"jakieś",101
"bym",100
"jutro",100
"dziś",99
"u",99
"bez",97
"chcesz",97
"możesz",97
"można",94
"jakoś",93
"by",84
"jesteś",84
"potem",84
"tyle",84
"fajnie",82
"ta",78
"3",77
"taki",77
"ej",74
"dzięki",72
"moze",72
"wtedy",72
"jakby",71
"juz",71
"zrobić",70
"domu",69
"omg",69
"wszystko",69
"jakiś",68
"niż",67
"dużo",66
"git",66
"hmm",65
"4",64
"sobie",64
"dzień",63
"go",63
"był",61
"cię",61
"gdzie",61
"x",61
"10",60
"możemy",60
"pole",60
"mamy",59
"raczej",59
"zaraz",58
"wysokość",57
"sam",55
"mój",54
"przez",54
"kochanie",53
"my",53
"the",52
"informacje",51
"jasne",51
"oraz",51
"imo",50
"kto",50
"niestety",50
"srki",50
"jnmg",49
"myślałem",49
"nadal",49
"zawsze",49
"ciebie",48
"dziękuję",48
"lepiej",48
"moja",48
"natalka",48
"razie",48
"aha",47
"bardziej",47
"hej",47
"ona",46
"prawda",46
"tej",46
"we",46
"dobry",45
"jednak",45
"mu",45
"niech",45
"rano",45
"wcześniej",45
"będziesz",44
"da",44
"ktoś",44
"mega",44
"prostu",44
"xdddd",44
"ładnie",44
"aa",43
"byłem",43
"idę",43
"przed",43
"raz",43
"sensie",43
"wow",43
"you",43
"była",42
"były",42
"działa",42
"miał",42
"muszę",42
"pewno",42
"robić",42
"tych",42
"miałem",41
"razem",41
"spk",41
"sry",41
"taka",41
"ahh",40
"oo",40
"zrobię",40
"0",39
"cóż",39
"kiedy",39
"cb",38
"czm",38
"karolina",38
"niby",38
"przy",38
"rzeczy",38
"więcej",38
"zadania",38
"byc",37
"chodzi",37
"chętnie",37
"dokładnie",37
"nas",37
"status",37
"zadanie",37
"6",36
"cos",36
"ile",36
"nawzajem",36
"samo",36
"znam",36
"iść",35
"jaki",35
"kurde",35
"moje",35
"siebie",35
"t",35
"widzę",35
"5",34
"8",34
"chociaż",34
"e",34
"gdzieś",34
"kiedyś",34
"mieć",34
"ofc",34
"pod",34
"wiadomo",34
"bedzie",33
"będziemy",33
"czas",33
"czyli",33
"lubię",33
"nam",33
"obwód",33
"rzeczywiście",33
"tobą",33
"uu",33
"wczoraj",33
"zajęcia",33
"guess",32
"jbc",32
"meet.google.com",32
"nigdy",32
"oj",32
"rozumiem",32
"weź",32
"7",31
"czasu",31
"czemu",31
"im",31
"jakbyś",31
"jej",31
"karamba",31
"mozna",31
"możliwe",31
"okii",31
"prawie",31
"wszystkie",31
"aww",30
"cool",30
"dam",30
"idzie",30
"moge",30
"musisz",30
"np",30
"spokojnie",30
"superr",30
"vm.tiktok.com",30
"wlasnie",30
"wystarczy",30
"zrobiłem",30
"średnio",30
"15",29
"aż",29
"for",29
"jesteśmy",29
"mają",29
"myślę",29
"najwyżej",29
"problem",29
"przynajmniej",29
"wiesz",29
"wspaniale",29
"33",28
"bylo",28
"dni",28
"dwa",28
"hahah",28
"in",28
"jadę",28
"jakie",28
"możecie",28
"podoba",28
"razu",28
"roku",28
"studia",28
"widziałem",28
"czk",27
"jedno",27
"lipa",27
"pamiętam",27
"robi",27
"tygodniu",27
"umiem",27
"12",26
"ahhh",26
"aktywności",26
"brzmi",26
"cieszę",26
"czwartek",26
"dobre",26
"dopiero",26
"godzinę",26
"jakaś",26
"n",26
"nim",26
"of",26
"ogólnie",26
"piątek",26
"postaram",26
"proszę",26
"radę",26
"rp",26
"y",26
"yy",26
"zobaczymy",26
"akurat",25
"ani",25
"fajne",25
"mini",25
"mną",25
"pójdę",25
"robiłem",25
"sensu",25
"si",25
"takim",25
"wiadomości",25
"ładne",25
"and",24
"cały",24
"dzwonić",24
"kilka",24
"korki",24
"mama",24
"nom",24
"objętość",24
"powiedział",24
"powinno",24
"przeczytaniu",24
"racja",24
"spać",24
"szybko",24
"wiedziałem",24
"wyświetlać",24
"będą",23
"hejj",23
"jako",23
"mało",23
"min",23
"moj",23
"not",23
"podobno",23
"potrzebuje",23
"troche",23
"wieczorem",23
"wydaje",23
"zrobic",23
"ślicznie",23
"16",22
"20",22
"9",22
"hm",22
"ich",22
"innych",22
"jechać",22
"kupić",22
"ludzi",22
"miło",22
"niee",22
"nikt",22
"ostatnio",22
"polecam",22
"powiedzieć",22
"sprawa",22
"szkoda",22
"widać",22
"wszyscy",22
"zeby",22
"brat",21
"ciężko",21
"darmo",21
"inne",21
"końcu",21
"miejsca",21
"miejsce",21
"oni",21
"pasuje",21
"patrz",21
"wziąć",21
"chciałem",20
"dobraa",20
"is",20
"jeden",20
"k",20
"know",20
"mniej",20
"mojego",20
"pan",20
"r",20
"robię",20
"sa",20
"spokoo",20
"teoche",20
"tragedia",20
"wakacje",20
"zapraszam",20
"zdjęcie",20
"ajajaj",19
"chciał",19
"idk",19
"inaczej",19
"jezus",19
"której",19
"miro.com",19
"nad",19
"obok",19
"ojej",19
"pytanie",19
"robisz",19
"słuchaj",19
"takiego",19
"temu",19
"ups",19
"śmieszne",19
"święta",19
"14",18
"bede",18
"czasem",18
"dnia",18
"dziala",18
"długo",18
"fajny",18
"hejka",18
"które",18
"nadzieje",18
"nadzieję",18
"nmg",18
"notion",18
"one",18
"pani",18
"wam",18
"widzisz",18
"wie",18
"wracam",18
"wrócę",18
"zosia",18
"środę",18
"chcemy",17
"czego",17
"czegoś",17
"daleko",17
"dość",17
"ewentualnie",17
"fifi",17
"idziesz",17
"koniecznie",17
"koło",17
"lat",17
"maja",17
"me",17
"metro",17
"mówiła",17
"nieźle",17
"numerków",17
"pięknie",17
"porządku",17
"poszło",17
"pp",17
"projekt",17
"same",17
"stronie",17
"takich",17
"takk",17
"true",17
"was",17
"wolę",17
"wychodzi",17
"wyszło",17
"zamiast",17
"zobaczę",17
"żebyś",17
"aaa",16
"chciała",16
"dziękuje",16
"fancy",16
"google",16
"idziemy",16
"jakies",16
"je",16
"lepsze",16
"ludzie",16
"luzik",16
"miała",16
"mogą",16
"moim",16
"mówi",16
"mówił",16
"napisać",16
"okazuje",16
"pomysł",16
"poproszę",16
"razy",16
"rodzice",16
"s",16
"tydzień",16
"wolisz",16
"zdjęcia",16
"znowu",16
"zrobilem",16
"ładna",16
"śmiesznie",16
"ang",15
"chat",15
"drugie",15
"dzis",15
"fajna",15
"gimnazjum",15
"innego",15
"inny",15
"it",15
"jedzie",15
"jprdl",15
"kod",15
"kogoś",15
"koniec",15
"który",15
"lecę",15
"mhm",15
"mieli",15
"mojej",15
"myśle",15
"najlepsze",15
"najlepszego",15
"narty",15
"niego",15
"niz",15
"nmax",15
"powiem",15
"poza",15
"rok",15
"strasznie",15
"strony",15
"stronę",15
"sześcian",15
"słodziak",15
"top",15
"twoje",15
"uuu",15
"wf",15
"wolny",15
"wtf",15
"wtorek",15
"wysłać",15
"your",15
"youtu.be",15
"yyy",15
"zdecydowanie",15
"źle",15
"00",14
"11",14
"13",14
"18",14
"bartek",14
"best",14
"bosz",14
"całe",14
"chuj",14
"chwilę",14
"dasz",14
"dobranocki",14
"dosłownie",14
"f",14
"ho",14
"jakichś",14
"jakąś",14
"jedna",14
"jego",14
"liczy",14
"luz",14
"napisane",14
"numerki",14
"okk",14
"pkt",14
"ponad",14
"powodzenia",14
"powrotem",14
"później",14
"swoje",14
"szczerze",14
"szybciej",14
"tata",14
"urodziny",14
"with",14
"wszystkiego",14
"wygląda",14
"wyjdzie",14
"wykres",14
"wykład",14
"wziąłem",14
"angielski",13
"antek",13
