"word","count"
"to",908
"nie",703
"na",595
"i",539
"w",426
"a",381
"ale",369
"jak",357
"z",350
"się",345
"tak",317
"no",315
"ze",315
"ja",311
"do",309
"co",250
"ok",235
"jest",234
"bo",207
"czy",203
"xdd",200
"o",196
"może",169
"mam",166
"chyba",164
"tam",144
"nw",138
"już",136
"mi",128
"xddd",125
"jeszcze",122
"ty",117
"dzisiaj",115
"tylko",111
"coś",110
"za",106
"git",104
"wgl",100
"masz",99
"ma",97
"po",93
"te",91
"tez",87
"jutro",86
"teraz",86
"ten",85
"xd",83
"ej",81
"ci",80
"sa",71
"tego",71
"jestem",70
"będzie",69
"pewnie",69
"spoko",69
"od",66
"trochę",64
"bym",62
"tym",60
"sie",59
"będę",58
"ktoś",58
"ta",57
"2",56
"wiec",55
"było",53
"https",53
"mnie",53
"właśnie",51
"db",50
"sb",49
"1",47
"dzięki",47
"jakoś",46
"3",45
"zaraz",45
"dobra",44
"takie",44
"kiedy",42
"u",42
"wsm",42
"ogólnie",41
"albo",40
"ktorej",40
"jakaś",39
"jakieś",39
"mg",39
"być",38
"jesteś",38
"jo",38
"tu",37
"on",36
"30",35
"aha",35
"cb",35
"gdzie",35
"ile",35
"jakiś",35
"20",34
"będziesz",34
"dla",34
"min",34
"nawet",34
"bez",33
"muszę",33
"by",31
"mamy",31
"raczej",31
"10",30
"można",30
"nic",30
"trzeba",30
"żeby",30
"18",29
"tych",29
"16",28
"sobie",28
"8",27
"bardzo",27
"taki",27
"weź",27
"wwa",27
"je",26
"chce",25
"dawaj",25
"hejka",25
"wszystko",25
"5",24
"cos",24
"lecisz",24
"mogę",24
"my",24
"tej",24
"wiem",24
"dobrze",23
"jakie",23
"miałem",23
"możesz",23
"pod",23
"wczoraj",23
"zrobić",23
"był",22
"chcesz",22
"imo",22
"kurde",22
"ona",22
"dlaczego",21
"mega",21
"później",21
"siema",21
"uczelni",21
"4",20
"domu",20
"dopiero",20
"macie",20
"mysle",20
"niby",20
"we",20
"znac",20
"chwile",19
"fajnie",19
"go",19
"lepiej",19
"mówił",19
"około",19
"pewno",19
"razie",19
"sam",19
"tyle",19
"ciekawe",18
"jaka",18
"jaki",18
"miał",18
"piątek",18
"plus",18
"przez",18
"wieczorem",18
"6",17
"daj",17
"myślałem",17
"normalnie",17
"poza",17
"robisz",17
"stary",17
"wiesz",17
"wtedy",17
"że",17
"15",16
"9",16
"cie",16
"czyli",16
"dam",16
"e",16
"jakby",16
"n",16
"przy",16
"sensie",16
"takiego",16
"311",15
"algebry",15
"chuj",15
"ciężko",15
"czekam",15
"dc",15
"dużo",15
"jeśli",15
"juz",15
"lecę",15
"mini",15
"poniedziałek",15
"poszło",15
"robić",15
"rozumiem",15
"widziałem",15
"wszystkie",15
"wyglada",15
"zadanie",15
"100",14
"czaje",14
"dzieki",14
"gdzieś",14
"gotowy",14
"im",14
"jednak",14
"kolosa",14
"końcu",14
"moze",14
"ostatnio",14
"pamietam",14
"roku",14
"siebie",14
"taka",14
"11",13
"14",13
"17",13
"aleks",13
"bedziemy",13
"będą",13
"czasu",13
"dzk",13
"ich",13
"jej",13
"kornel",13
"kto",13
"która",13
"lipa",13
"lipnie",13
"p",13
"pogadać",13
"pytanie",13
"rzeczy",13
"serio",13
"tydzień",13
"udało",13
"was",13
"wcześniej",13
"zależy",13
"analiza",12
"aś",12
"była",12
"całkiem",12
"chodzi",12
"ctm",12
"dalej",12
"dobry",12
"hej",12
"jedno",12
"jesteście",12
"nice",12
"ogarnąć",12
"oni",12
"przed",12
"razem",12
"silke",12
"zajebiscie",12
"0",11
"7",11
"b",11
"bardziej",11
"bedzie",11
"czwartek",11
"czym",11
"idzie",11
"iść",11
"jakimś",11
"kurcze",11
"lecim",11
"lecimy",11
"luzik",11
"maja",11
"mieszkaniu",11
"możemy",11
"możliwe",11
"nam",11
"nas",11
"np",11
"pkt",11
"prawda",11
"pytam",11
"r",11
"szczerze",11
"umowy",11
"wf",11
"wideo",11
"wtorek",11
"zadania",11
"50",10
"akurat",10
"aż",10
"bede",10
"czas",10
"cześć",10
"dwa",10
"dysku",10
"grupy",10
"haha",10
"jakis",10
"jeden",10
"kupić",10
"leci",10
"mieć",10
"mozna",10
"mu",10
"mówi",10
"one",10
"oraz",10
"pasuje",10
"podoba",10
"podobno",10
"pokój",10
"powiedz",10
"raz",10
"robiłeś",10
"silce",10
"sum",10
"troche",10
"wracam",10
"wracasz",10
"zrobił",10
"złe",10
"12",9
"19",9
"23",9
"airport_delays",9
"alw",9
"analizę",9
"byłem",9
"były",9
"chciałem",9
"chociaż",9
"dobre",9
"feature",9
"g",9
"idę",9
"jakiegoś",9
"k",9
"które",9
"ludzie",9
"mieszkanie",9
"mówię",9
"nad",9
"najlepiej",9
"najpierw",9
"napisz",9
"niego",9
"nmg",9
"ofertę",9
"ogarniam",9
"pamiętasz",9
"plan",9
"radę",9
"share",9
"shorts",9
"wow",9
"wwk",9
"wykładzie",9
"youtube.com",9
"zajęcia",9
"zapytam",9
"zdj",9
"zobaczymy",9
"13",8
"22",8
"angielski",8
"byłeś",8
"chętnie",8
"danych",8
"dać",8
"drive.google.com",8
"dysk",8
"gadasz",8
"hmm",8
"informacje",8
"innego",8
"jade",8
"jedynie",8
"kiedys",8
"kk",8
"ludzi",8
"luzie",8
"maila",8
"miejsce",8
"musimy",8
"myślisz",8
"mój",8
"pierwsze",8
"pisałem",8
"początku",8
"projekt",8
"prostu",8
"rano",8
"spisz",8
"spk",8
"studia",8
"super",8
"tb",8
"też",8
"the",8
"uczyć",8
"www.facebook.com",8
"wydaje",8
"wysłać",8
"wyślę",8
"x",8
"zdałem",8
"znaczy",8
"airport_mean_delays_by_state",7
"ak",7
"aleksa",7
"bierzesz",7
"byc",7
"byś",7
"chacie",7
"chciał",7
"ciebie",7
"da",7
"dane",7
"dyskretna",7
"działa",7
"godzinę",7
"gość",7
"grupie",7
"głowy",7
"inne",7
"javy",7
"jesli",7
"kogoś",7
"kurwa",7
"lat",7
"lecieć",7
"mama",7
"miała",7
"miałeś",7
"michał",7
"mieli",7
"mieszkania",7
"mn",7
"moje",7
"musiał",7
"musisz",7
"mówiła",7
"mówiłem",7
"napisał",7
"napisałem",7
"napisze",7
"ni",7
"nich",7
"niedziele",7
"niestety",7
"niż",7
"notatki",7
"oj",7
"pass",7
"pisze",7
"pls",7
"podeslij",7
"poszedł",7
"powiedzieć",7
"powiem",7
"prezentacje",7
"razy",7
"robi",7
"s",7
"samo",7
"silka",7
"sporo",7
"szkoda",7
"tobie",7
"trening",7
"tyg",7
"uczelnie",7
"wiadomo",7
"widzę",7
"wie",7
"wy",7
"wychodzę",7
"wyjeżdżam",7
"wyniki",7
"wziąłem",7
"youtu.be",7
"zadan",7
"zamiast",7
"zobaczę",7
"zostaje",7
"ładnie",7
"21",6
"ajj",6
"algebra",6
"algebrę",6
"all",6
"angola",6
"całe",6
"ciekawy",6
"czatu",6
"czegoś",6
"deal",6
"dołączyłeś",6
"drive",6
"dwie",6
"dyskretnej",6
"dziękuje",6
"faktycznie",6
"fame",6
"folders",6
"fuck",6
"gadać",6
"in",6
"jako",6
"jakos",6
"jedna",6
"jj",6
"końca",6
"kończysz",6
"m",6
"marcel",6
"mieszka",6
"mógł",6
"mówisz",6
"napisać",6
"nauki",6
"niedługo",6
"oddam",6
"odpadam",6
"ogarnę",6
"ooo",6
"pierdole",6
"pierwszym",6
"pisał",6
"podpisać",6
"pokaz",6
"pokoju",6
"pol",6
"pomysł",6
"pranie",6
"przeczytałem",6
"pw",6
"razu",6
"robił",6
"same",6
"semie",6
"sesji",6
"sir",6
"sobotę",6
"spróbuje",6
"ss",6
"swoje",6
"szans",6
"teoria",6
"teorie",6
"teorii",6
"tomek",6
"trudno",6
"usiądę",6
"wiadomości",6
"wolne",6
"wróciłem",6
"wrócę",6
"wstales",6
"wstawaj",6
"wychodzi",6
"wydziale",6
"wynik",6
"zadanka",6
"załącznik",6
"zjeżdżasz",6
"znaleźć",6
"znowu",6
