Countries;Source;Type;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010
Afghanistan; (FAO) 1961-2015, (FAO, IWSR) 2016-2018; All types;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.02
Afghanistan; (FAO) 1961-2015, (FAO, IWSR) 2016-2018; Beer;0;0;0;0;0;0;0;0;0;0.01
Afghanistan; (FAO) 1961-2015, (FAO, IWSR) 2016-2018; Wine;0;0;0;0;0;0;0;0;0;0
Afghanistan; (FAO) 1961-2015, (FAO, IWSR) 2016-2018; Spirits;0.01;0.01;0.01;0.01;0;0.01;0;0;0;0
Afghanistan; (FAO) 1961-2015, (FAO, IWSR) 2016-2018; Other alcoholic beverages;0;0;0;0;0;0;0.01;0.01;0.01;0.01
Albania; (FAO) 1962-1999, (GlobalData, IWSR, OIV) 2000-2018; All types;4.4;4.44;4.39;4.38;4.33;4.1;4.28;4.43;5.03;4.88
Albania; (FAO) 1962-1999, (GlobalData, IWSR, OIV) 2000-2018; Beer;1.75;1.75;1.64;1.52;1.48;1.29;1.34;1.34;1.88;1.71
Albania; (FAO) 1962-1999, (GlobalData, IWSR, OIV) 2000-2018; Wine;1.15;1.12;1.11;1.17;1.1;0.99;1.07;1.12;1.08;1.08
Albania; (FAO) 1962-1999, (GlobalData, IWSR, OIV) 2000-2018; Spirits;1.43;1.5;1.56;1.61;1.68;1.74;1.79;1.88;1.99;1.97
Albania; (FAO) 1962-1999, (GlobalData, IWSR, OIV) 2000-2018; Other alcoholic beverages;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.09;0.09;0.11
Algeria; (WDT) 1961-1999, (FAO, GlobalData, OIV) 2000-2017; All types;0.59;0.59;0.58;0.58;0.55;0.54;0.5;0.43;0.4;0.35
Algeria; (WDT) 1961-1999, (FAO, GlobalData, OIV) 2000-2017; Beer;0.31;0.31;0.3;0.32;0.31;0.28;0.26;0.23;0.21;0.18
Algeria; (WDT) 1961-1999, (FAO, GlobalData, OIV) 2000-2017; Wine;0.2;0.2;0.2;0.18;0.17;0.16;0.14;0.13;0.13;0.13
Algeria; (WDT) 1961-1999, (FAO, GlobalData, OIV) 2000-2017; Spirits;0.08;0.08;0.08;0.08;0.07;0.1;0.1;0.07;0.06;0.04
Algeria; (WDT) 1961-1999, (FAO, GlobalData, OIV) 2000-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Andorra; avg of France and Spain consumption 2000-2018; All types;10.99;10.72;11.18;11.18;11.02;9.88;10.06;10.33;10.46;10.53
Andorra; avg of France and Spain consumption 2000-2018; Beer;3.59;3.5;3.4;3.26;3.16;3.28;2.96;3.14;3.1;3.13
Andorra; avg of France and Spain consumption 2000-2018; Wine;4.98;4.81;5.33;5.38;5.4;4.13;4.61;4.73;4.73;4.71
Andorra; avg of France and Spain consumption 2000-2018; Spirits;2.32;2.33;2.35;2.44;2.36;2.32;2.34;2.36;2.52;2.59
Andorra; avg of France and Spain consumption 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Angola; (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; All types;5.84;6.15;6.16;6.09;6.53;8.1;7.67;7.83;7.66;7.58
Angola; (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Beer;3.78;3.78;3.65;3.39;3.25;4.5;4.46;4.59;4.43;4.23
Angola; (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Wine;0.72;0.64;0.59;0.73;1.1;1.14;0.89;0.9;0.85;0.85
Angola; (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Spirits;1.27;1.65;1.84;1.88;2.07;2.34;2.21;2.23;2.28;2.36
Angola; (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Other alcoholic beverages;0.08;0.08;0.09;0.09;0.1;0.12;0.12;0.11;0.11;0.14
Antigua and Barbuda; (FAO) 1962-1999, (FAO, GlobalData, IWSR) 2000-2018; All types;11.88;11.28;10.78;9.75;9.06;9.66;9.43;8.22;7.24;7.16
Antigua and Barbuda; (FAO) 1962-1999, (FAO, GlobalData, IWSR) 2000-2018; Beer;2.97;2.97;2.85;2.77;2.68;2.59;2.63;2.68;2.74;2.78
Antigua and Barbuda; (FAO) 1962-1999, (FAO, GlobalData, IWSR) 2000-2018; Wine;3.95;3.6;3.8;3.1;2.44;3.29;2.88;1.86;1.08;1
Antigua and Barbuda; (FAO) 1962-1999, (FAO, GlobalData, IWSR) 2000-2018; Spirits;4.55;4.29;3.83;3.63;3.69;3.52;3.66;3.41;3.15;3.13
Antigua and Barbuda; (FAO) 1962-1999, (FAO, GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.41;0.41;0.29;0.25;0.25;0.26;0.26;0.27;0.27;0.26
Argentina; (FAO) 1961-1979, (WDT) 1980-1999, WHO 2000-2010, Republica Argentina 2011-2018; All types;7.95;7.95;8.29;8.38;8.49;7.93;8.27;8;7.69;8.15
Argentina; (FAO) 1961-1979, (WDT) 1980-1999, WHO 2000-2010, Republica Argentina 2011-2018; Beer;3.62;3.62;3.62;3.62;3.39;3.37;3.35;3.29;3.5;3.32
Argentina; (FAO) 1961-1979, (WDT) 1980-1999, WHO 2000-2010, Republica Argentina 2011-2018; Wine;2.88;2.88;3.17;3.13;3.41;3.21;3.51;3.53;3.14;3.91
Argentina; (FAO) 1961-1979, (WDT) 1980-1999, WHO 2000-2010, Republica Argentina 2011-2018; Spirits;0.72;0.72;0.68;0.77;0.82;0.55;0.52;0.48;0.46;0.45
Argentina; (FAO) 1961-1979, (WDT) 1980-1999, WHO 2000-2010, Republica Argentina 2011-2018; Other alcoholic beverages;0.72;0.72;0.82;0.86;0.88;0.8;0.89;0.71;0.59;0.47
Armenia; (FAO) 1990-1999, (GlobalData, IWSR, OIV) 2000-2018; All types;3.77;3.69;3.83;3.83;4.04;4.22;3.92;3.89;4.07;4.23
Armenia; (FAO) 1990-1999, (GlobalData, IWSR, OIV) 2000-2018; Beer;0.52;0.52;0.49;0.42;0.49;0.52;0.43;0.25;0.34;0.4
Armenia; (FAO) 1990-1999, (GlobalData, IWSR, OIV) 2000-2018; Wine;0.46;0.33;0.38;0.3;0.22;0.22;0.28;0.25;0.31;0.24
Armenia; (FAO) 1990-1999, (GlobalData, IWSR, OIV) 2000-2018; Spirits;2.78;2.83;2.96;3.1;3.33;3.48;3.21;3.38;3.42;3.58
Armenia; (FAO) 1990-1999, (GlobalData, IWSR, OIV) 2000-2018; Other alcoholic beverages;0.01;0.01;0.01;0;0;0.01;0.01;0.01;0.01;0.01
Australia; (WDT) 1961-1989,  (NDRI) 1990-1999, Australia 2000-2018; All types;9.51;9.51;9.49;9.79;9.68;9.9;10;10.03;10.3;10.52
Australia; (WDT) 1961-1989,  (NDRI) 1990-1999, Australia 2000-2018; Beer;3.71;3.71;3.68;3.87;3.76;4.02;4.04;4.14;4.31;4.51
Australia; (WDT) 1961-1989,  (NDRI) 1990-1999, Australia 2000-2018; Wine;3.67;3.67;3.74;3.79;3.8;3.76;3.79;3.78;3.79;3.87
Australia; (WDT) 1961-1989,  (NDRI) 1990-1999, Australia 2000-2018; Spirits;1.32;1.32;1.23;1.25;1.22;1.23;1.29;1.26;1.34;1.3
Australia; (WDT) 1961-1989,  (NDRI) 1990-1999, Australia 2000-2018; Other alcoholic beverages;0.81;0.81;0.84;0.88;0.9;0.89;0.88;0.85;0.86;0.84
Austria; (FAO) 1960-1962,  (WDT) 1963-1999,  (Anton Proksch Institute) 2000-2017, WHO  2018; All types;11.9;11.6;11.6;11.7;11.6;12.4;12.1;12.1;11.9;12.1
Austria; (FAO) 1960-1962,  (WDT) 1963-1999,  (Anton Proksch Institute) 2000-2017, WHO  2018; Beer;6.3;6.1;6.1;6.1;6.1;6.2;6.1;6.3;6.1;6.1
Austria; (FAO) 1960-1962,  (WDT) 1963-1999,  (Anton Proksch Institute) 2000-2017, WHO  2018; Wine;3.7;3.6;3.6;3.7;3.6;4.2;3.9;4.1;4.1;4.3
Austria; (FAO) 1960-1962,  (WDT) 1963-1999,  (Anton Proksch Institute) 2000-2017, WHO  2018; Spirits;1.9;1.9;1.9;1.9;1.9;2;2.1;1.7;1.7;1.7
Austria; (FAO) 1960-1962,  (WDT) 1963-1999,  (Anton Proksch Institute) 2000-2017, WHO  2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Azerbaijan; (FAO) 1990-1999, (GlobalData, IWSR, OIV) 2000-2008, Statistical Yearbook 2009-2017; All types;1.38;0.88;0.44;0.39;0.51;0.36;0.52;0.52;0.6;0.99
Azerbaijan; (FAO) 1990-1999, (GlobalData, IWSR, OIV) 2000-2008, Statistical Yearbook 2009-2017; Beer;0.36;0.34;0.31;0.24;0.3;0.2;0.36;0.29;0.29;0.27
Azerbaijan; (FAO) 1990-1999, (GlobalData, IWSR, OIV) 2000-2008, Statistical Yearbook 2009-2017; Wine;0.06;0.15;0.13;0.15;0.14;0.15;0.15;0.15;0.15;0.21
Azerbaijan; (FAO) 1990-1999, (GlobalData, IWSR, OIV) 2000-2008, Statistical Yearbook 2009-2017; Spirits;0.94;0.39;0;0;0.07;0;0;0.07;0.15;0.51
Azerbaijan; (FAO) 1990-1999, (GlobalData, IWSR, OIV) 2000-2008, Statistical Yearbook 2009-2017; Other alcoholic beverages;0.01;0.01;0;0.01;0;0.01;0.01;0.01;0.01;0.01
Bahamas; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; All types;9.48;9.3;9.32;9.3;9.27;9.22;9.23;9.37;9.23;9.21
Bahamas; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Beer;3.66;3.66;3.66;3.66;3.65;3.81;3.75;3.68;3.6;3.48
Bahamas; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Wine;1.43;1.3;1.34;1.46;1.39;1.22;1.34;1.43;1.25;1.31
Bahamas; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Spirits;4.08;4.04;4.01;3.86;3.86;3.8;3.74;3.85;3.96;3.98
Bahamas; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.31;0.3;0.31;0.31;0.36;0.38;0.39;0.42;0.42;0.44
Bahrain; (FAO) 1970-1999, (GlobalData, IWSR) 2000-2018; All types;1.18;1.2;1.24;1.39;1.53;1.57;1.65;1.72;1.66;1.96
Bahrain; (FAO) 1970-1999, (GlobalData, IWSR) 2000-2018; Beer;0.4;0.4;0.38;0.38;0.39;0.38;0.37;0.36;0.34;0.47
Bahrain; (FAO) 1970-1999, (GlobalData, IWSR) 2000-2018; Wine;0.11;0.1;0.1;0.11;0.11;0.1;0.09;0.09;0.09;0.11
Bahrain; (FAO) 1970-1999, (GlobalData, IWSR) 2000-2018; Spirits;0.66;0.69;0.74;0.87;1;1.06;1.17;1.25;1.22;1.37
Bahrain; (FAO) 1970-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.01;0.02;0.02;0.03;0.02;0.02;0.02;0.02;0.01;0.01
Bangladesh; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; All types;0;0;0;0;0.01;0.01;0;0;0;0
Bangladesh; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Beer;0;0;0;0;0;0;0;0;0;0
Bangladesh; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Wine;0;0;0;0;0;0;0;0;0;0
Bangladesh; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Spirits;0;0;0;0;0;0;0;0;0;0
Bangladesh; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Barbados; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; All types;9.94;9.99;10.03;10.22;9.68;9.27;9.05;8.9;8.69;8.66
Barbados; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Beer;3.66;3.66;3.55;3.47;3.38;3.43;3.41;3.4;3.33;3.3
Barbados; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Wine;1.36;1.39;1.51;1.78;1.52;1.2;1.19;1.08;1.08;1.19
Barbados; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Spirits;4.75;4.78;4.8;4.8;4.6;4.46;4.27;4.22;4.07;3.97
Barbados; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.17;0.16;0.17;0.18;0.18;0.18;0.18;0.2;0.2;0.21
Belarus; (FAO) 1980-1999, WHO  2000-2004, Yearbook of Statistics 2005-2018; All types;10.57;10.08;9.76;9.74;9.79;11.29;12.58;13.56;14.5;14.43
Belarus; (FAO) 1980-1999, WHO  2000-2004, Yearbook of Statistics 2005-2018; Beer;2.26;2.18;2.05;2.07;2;2.16;2.36;2.19;2.3;2.37
Belarus; (FAO) 1980-1999, WHO  2000-2004, Yearbook of Statistics 2005-2018; Wine;0.98;0.9;0.85;0.8;0.75;0.84;0.84;0.76;0.73;0.75
Belarus; (FAO) 1980-1999, WHO  2000-2004, Yearbook of Statistics 2005-2018; Spirits;4.67;4.52;4.49;4.51;4.24;4.76;5.4;6.58;6.43;5.94
Belarus; (FAO) 1980-1999, WHO  2000-2004, Yearbook of Statistics 2005-2018; Other alcoholic beverages;2.66;2.48;2.38;2.37;2.79;3.52;3.97;4.03;5.04;5.36
Belgium; World Drink Trend (WDT) 1963-1999, (FAO) 2000-2007, (Belgium, WHO) 2008-2015; All types;9.15;9.22;9.3;9.42;10.36;10.57;10.33;10.09;10.14;10.27
Belgium; World Drink Trend (WDT) 1963-1999, (FAO) 2000-2007, (Belgium, WHO) 2008-2015; Beer;4.35;4.4;4.42;4.46;4.6;4.72;4.6;4.78;4.89;5.03
Belgium; World Drink Trend (WDT) 1963-1999, (FAO) 2000-2007, (Belgium, WHO) 2008-2015; Wine;3.41;3.41;3.42;3.47;3.97;3.97;3.87;3.72;3.71;3.72
Belgium; World Drink Trend (WDT) 1963-1999, (FAO) 2000-2007, (Belgium, WHO) 2008-2015; Spirits;1.09;1.1;1.13;1.15;1.47;1.47;1.42;1.54;1.49;1.48
Belgium; World Drink Trend (WDT) 1963-1999, (FAO) 2000-2007, (Belgium, WHO) 2008-2015; Other alcoholic beverages;0.3;0.31;0.34;0.34;0.32;0.41;0.44;0.05;0.05;0.05
Belize; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; All types;5.93;5.95;6.09;6.5;6.71;6.73;6.6;6.35;6.34;6.47
Belize; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Beer;3.88;3.88;3.91;4.15;4.25;4.14;4.14;4.18;4.24;4.33
Belize; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Wine;0.68;0.7;0.65;0.63;0.68;0.76;0.64;0.31;0.25;0.24
Belize; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Spirits;1.19;1.24;1.4;1.57;1.64;1.68;1.66;1.71;1.7;1.75
Belize; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.17;0.14;0.13;0.15;0.14;0.14;0.15;0.16;0.14;0.15
Benin; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; All types;1.25;1.26;1.35;1.44;1.53;1.53;1.43;1.41;1.47;1.35
Benin; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Beer;0.81;0.81;0.87;0.95;1.03;1.04;0.92;0.94;0.82;0.7
Benin; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Wine;0.02;0.04;0.06;0.07;0.07;0.07;0.07;0.11;0.19;0.18
Benin; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Spirits;0.2;0.2;0.2;0.2;0.2;0.19;0.21;0.15;0.16;0.17
Benin; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Other alcoholic beverages;0.22;0.22;0.22;0.22;0.22;0.22;0.22;0.21;0.29;0.3
Bhutan; (FAO) 1961-1999, (FAO, Wine Institute) 2000-2017; All types;0.07;0.07;0.07;0.02;0.04;0.21;0.31;0.32;0.25;0.23
