Region;Catholic;Orthodox;Protestant;Other Christian;Total Christians;Non-Believer / Agnostic;Atheist;Muslim
Austria;66.50;0.02;0.07;0.02;0.78;0.15;0.04;0.02
Belgium;0.53;0.02;0.02;0.04;0.61;0.17;0.15;0.05
Bulgaria;0.02;0.83;0.00;0.01;0.86;0.03;0.02;0.08
Croatia;0.84;0.02;0.00;0.00;0.87;0.07;0.04;0.01
Cyprus;0.01;0.96;0.00;0.01;0.98;0.01;0.01;0.00
Czech Republic;0.27;0.00;0.01;0.03;0.32;0.39;0.26;0.00
Denmark;0.01;0.02;0.60;0.09;0.72;0.13;0.13;0.01
Estonia;0.03;0.23;0.09;0.24;0.59;0.17;0.22;0.00
EU28;0.45;0.10;0.11;0.06;0.72;0.14;0.10;0.02
Finland;0.00;0.02;0.70;0.07;0.79;0.13;0.07;0.01
France;0.48;0.01;0.02;0.04;0.54;0.18;0.23;0.03
Eastern Germany;0.07;0.02;0.19;0.09;37.20;0.27;0.34;0.00
Total Germany[32];0.31;0.01;0.33;0.08;0.73;0.11;0.13;0.02
Western Germany;0.37;0.01;0.37;0.07;0.81;0.07;0.07;0.03
Greece;0.00;0.93;0.00;0.01;0.94;0.02;0.02;0.01
Hungary;0.60;0.01;0.05;0.08;0.75;0.19;0.03;0.00
Italy;0.78;0.05;0.01;0.01;0.85;0.08;0.04;0.00
Latvia;0.26;0.24;0.17;0.10;0.77;0.17;0.05;0.01
Lithuania;0.88;0.04;0.01;0.01;0.93;0.04;0.03;0.00
Luxembourg;0.65;0.04;0.04;0.01;0.70;0.11;0.10;0.02
Malta;0.95;0.00;0.00;0.00;0.96;0.01;0.03;0.00
Netherlands;0.22;0.02;0.18;0.06;0.48;0.40;0.09;0.01
Poland;0.91;0.00;0.01;0.00;0.92;0.02;0.04;0.00
Portugal;0.86;0.00;0.01;0.02;0.89;0.08;0.02;0.00
Ireland;0.81;0.01;0.02;0.04;0.88;0.06;0.05;0.01
Romania;0.05;0.90;0.03;0.01;1.00;0.00;0.00;0.00
Slovakia;0.73;0.02;0.06;0.02;0.84;0.05;0.07;0.00
Slovenia;0.67;0.01;0.02;0.00;0.69;0.07;0.17;0.03
Spain;0.64;0.01;0.01;0.02;0.69;0.17;0.11;0.01
Sweden;0.02;0.01;0.37;0.09;0.48;0.31;0.19;0.01
Great Britain;0.13;0.10;0.15;0.19;0.56;0.21;0.12;0.05
Northern Ireland;0.33;0.01;0.15;0.42;0.92;0.08;0.02;0.01
