Entity,Code,Year,Average annual working hours per worker
Argentina,ARG,1950,2034
Argentina,ARG,1951,2037.8667
Argentina,ARG,1952,2041.7408
Argentina,ARG,1953,2045.6223
Argentina,ARG,1954,2049.5112
Argentina,ARG,1955,2053.4075
Argentina,ARG,1956,2057.311
Argentina,ARG,1957,2061.2222
Argentina,ARG,1958,2065.1406
Argentina,ARG,1959,2069.0667
Argentina,ARG,1960,2073
Argentina,ARG,1961,2066.2004
Argentina,ARG,1962,2059.4233
Argentina,ARG,1963,2052.6685
Argentina,ARG,1964,2045.9355
Argentina,ARG,1965,2039.2249
Argentina,ARG,1966,2032.5361
Argentina,ARG,1967,2025.8694
Argentina,ARG,1968,2019.2245
Argentina,ARG,1969,2012.6013
Argentina,ARG,1970,2006
Argentina,ARG,1971,2002.6611
Argentina,ARG,1972,1999.3278
Argentina,ARG,1973,1996
Argentina,ARG,1974,1992.8422
Argentina,ARG,1975,1989.6893
Argentina,ARG,1976,1986.5415
Argentina,ARG,1977,1983.3987
Argentina,ARG,1978,1980.2609
Argentina,ARG,1979,1977.1279
Argentina,ARG,1980,1974
Argentina,ARG,1981,1961.2301
Argentina,ARG,1982,1948.5427
Argentina,ARG,1983,1935.9375
Argentina,ARG,1984,1923.4137
Argentina,ARG,1985,1910.9711
Argentina,ARG,1986,1898.6089
Argentina,ARG,1987,1886.3267
Argentina,ARG,1988,1874.1238
Argentina,ARG,1989,1862
Argentina,ARG,1990,1850
Argentina,ARG,1991,1837.9608
Argentina,ARG,1992,1826
Argentina,ARG,1993,1850.3378
Argentina,ARG,1994,1875
Argentina,ARG,1995,1881.9612
Argentina,ARG,1996,1888.9481
Argentina,ARG,1997,1895.9611
Argentina,ARG,1998,1903
Argentina,ARG,1999,1887.285
Argentina,ARG,2000,1862.1362
Argentina,ARG,2001,1811.1526
Argentina,ARG,2002,1710.0365
Argentina,ARG,2003,1713.5746
Argentina,ARG,2004,1730.8173
Argentina,ARG,2005,1761.3994
Argentina,ARG,2006,1765.6013
Argentina,ARG,2007,1780.5565
Argentina,ARG,2008,1781.4246
Argentina,ARG,2009,1742.9043
Argentina,ARG,2010,1751.7655
Argentina,ARG,2011,1750.9741
Argentina,ARG,2012,1726.2584
Argentina,ARG,2013,1714.8711
Argentina,ARG,2014,1695.364
Argentina,ARG,2015,1691.5363
Argentina,ARG,2016,1691.5363
Argentina,ARG,2017,1691.5363
Australia,AUS,1870,2792
Australia,AUS,1880,2647
Australia,AUS,1890,2501
Australia,AUS,1900,2385
Australia,AUS,1913,2214
Australia,AUS,1929,2186
Australia,AUS,1938,2109
Australia,AUS,1950,2178.2456
Australia,AUS,1951,2158.1013
Australia,AUS,1952,2138.1436
Australia,AUS,1953,2118.3701
Australia,AUS,1954,2098.7798
Australia,AUS,1955,2079.3704
Australia,AUS,1956,2060.1406
Australia,AUS,1957,2041.0886
Australia,AUS,1958,2022.2129
Australia,AUS,1959,2003.5116
Australia,AUS,1960,1984.9834
Australia,AUS,1961,1981.3214
Australia,AUS,1962,1977.6663
Australia,AUS,1963,1974.0178
Australia,AUS,1964,1970.3761
Australia,AUS,1965,1966.7411
Australia,AUS,1966,1963.1128
Australia,AUS,1967,1959.4912
Australia,AUS,1968,1955.8762
Australia,AUS,1969,1952.2679
Australia,AUS,1970,1948.6664
Australia,AUS,1971,1929.967
Australia,AUS,1972,1909.5677
Australia,AUS,1973,1896.1807
Australia,AUS,1974,1913.4988
Australia,AUS,1975,1900.218
Australia,AUS,1976,1910.6301
Australia,AUS,1977,1912.4364
Australia,AUS,1978,1913.2864
Australia,AUS,1979,1918.705
Australia,AUS,1980,1919.1102
Australia,AUS,1981,1900.6442
Australia,AUS,1982,1881.5066
Australia,AUS,1983,1869.0269
Australia,AUS,1984,1883.6864
Australia,AUS,1985,1870.23
Australia,AUS,1986,1880.6699
Australia,AUS,1987,1877.5311
Australia,AUS,1988,1874.5796
Australia,AUS,1989,1887.2697
Australia,AUS,1990,1867.9515
Australia,AUS,1991,1853.8984
Australia,AUS,1992,1851.8408
Australia,AUS,1993,1869.6207
Australia,AUS,1994,1877.7278
Australia,AUS,1995,1875.9148
Australia,AUS,1996,1868.7593
Australia,AUS,1997,1867.0762
Australia,AUS,1998,1851.2338
