DATAFLOW,LAST UPDATE,freq,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Austria,2022,14.6,u
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Belgium,2022,11.3,u
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Bulgaria,2022,31.5,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Cyprus,2022,30.2,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Czechia,2022,10.1,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Germany,2022,15.2,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Denmark,2022,31.3,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Estonia,2022,16.5,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Greece,2022,22.8,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Spain,2022,16.7,d
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,European Union - 27 countries (from 2020),2022,15.6,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Finland,2022,16.6,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,France,2022,13.4,d
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Croatia,2022,12.5,u
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Hungary,2022,11.7,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Ireland,2022,23.6,
ESTAT:ISOC_SKI_ITSEX(1.0),16/10/23 11:00:00,Annual,Percentage,Females,Italy,2022,14.5,
