data,dzień tygodnia,godzina pójścia spać,godzina wstania,czas snu,czy był sen,jaki sen,czy pobudki w nocy,stopień wyspania,czy męczący dzień przed snem,czy dużo czasu na powietrzu,czy telefon przed snem
08-12-2023,piątek,02:45,09:30,6,FALSE,brak,FALSE,1,3,TRUE,TRUE
09-12-2023,sobota,22:15,08:15,10,TRUE,nie pamiętam,TRUE,2,3,TRUE,TRUE
10-12-2023,niedziela,00:15,08:40,"8,5",FALSE,brak,FALSE,2,2,FALSE,TRUE
11-12-2023,poniedziałek,22:30,08:10,"9,5",TRUE,dziwny,TRUE,3,1,FALSE,FALSE
12-12-2023,wtorek,00:15,07:00,7,TRUE,nie pamiętam,FALSE,2,2,FALSE,TRUE
13-12-2023,środa,23:30,08:20,8,FALSE,brak,FALSE,2,1,FALSE,FALSE
14-12-2023,czwartek,00:10,09:40,"9,5",TRUE,koszmar,FALSE,2,3,FALSE,FALSE
15-12-2023,piątek,23:40,08:10,"8,5",FALSE,brak,TRUE,2,1,FALSE,FALSE
16-12-2023,sobota,00:20,09:00,"8,5",TRUE,dobry,FALSE,3,3,TRUE,FALSE
17-12-2023,niedziela,22:50,08:50,10,TRUE,dobry,TRUE,3,3,TRUE,TRUE
18-12-2023,poniedziałek,23:50,06:50,7,FALSE,brak,FALSE,1,1,FALSE,FALSE
19-12-2023,wtorek,00:20,08:45,8,TRUE,dobry,FALSE,3,1,FALSE,TRUE
20-12-2023,środa,02:00,07:00,5,FALSE,brak,FALSE,1,1,FALSE,TRUE
21-12-2023,czwartek,23:15,07:30,8,FALSE,brak,FALSE,2,1,FALSE,FALSE
22-12-2023,piątek,22:45,08:30,9,FALSE,brak,FALSE,2,1,FALSE,FALSE
23-12-2023,sobota,23:30,08:45,9,FALSE,brak,FALSE,3,1,FALSE,TRUE
24-12-2023,niedziela,23:45,08:45,9,TRUE,dziwny,FALSE,3,1,FALSE,TRUE
25-12-2023,poniedziałek,00:30,08:30,8,TRUE,dziwny,FALSE,3,1,FALSE,TRUE
26-12-2023,wtorek,00:15,09:15,9,TRUE,koszmar,FALSE,2,2,TRUE,TRUE
27-12-2023,środa,00:15,08:30,8,TRUE,dziwny,FALSE,3,1,FALSE,FALSE
28-12-2023,czwartek,00:30,08:15,8,TRUE,dziwny,TRUE,2,1,FALSE,TRUE
29-12-2023,piątek,00:00,08:30,"8,5",TRUE,koszmar,FALSE,2,1,FALSE,FALSE
30-12-2023,sobota,23:45,08:30,9,FALSE,brak,FALSE,2,1,FALSE,FALSE
31-12-2023,niedziela,23:45,08:45,8,TRUE,nie pamiętam,FALSE,2,2,FALSE,FALSE
01-01-2024,poniedziałek,02:30,10:30,8,FALSE,brak,FALSE,3,3,FALSE,TRUE
02-01-2024,wtorek,00:45,09:00,8,TRUE,dziwny,TRUE,2,1,FALSE,TRUE
03-01-2024,środa,22:45,07:30,9,FALSE,brak,FALSE,2,1,FALSE,FALSE
04-01-2024,czwartek,00:15,08:30,8,TRUE,dziwny,FALSE,2,1,FALSE,TRUE
05-01-2024,piątek,23:45,08:30,9,TRUE,koszmar,FALSE,3,1,FALSE,FALSE
06-01-2024,sobota,23:45,08:00,8,TRUE,koszmar,FALSE,3,2,FALSE,TRUE
07-01-2024,niedziela,23:30,07:00,7,TRUE,dobry,FALSE,2,1,FALSE,FALSE
08-01-2024,poniedziałek,00:15,07:30,7,TRUE,dziwny,FALSE,2,1,FALSE,FALSE
