,Rank,Country,Cancer_Rate
0,1,Australia,468.0
1,2,New Zealand,438.1
2,3,Ireland,373.7
3,4,Hungary,368.1
4,5,United States,352.2
5,6,Belgium,345.8
6,7,France,344.1
7,8,Denmark,340.4
8,9,Norway,337.8
9,10,Netherlands,334.1
10,11,Canada,334.0
11,12,France (New Caledonia),324.2
12,13,United Kingdom,319.2
13,14,South Korea,313.5
14,15,Germany,313.1
15,16,Switzerland,311.0
16,17,Luxembourg,309.3
17,18,Serbia,307.9
18,19,Slovenia,304.9
19,20,Latvia,302.2
20,21,Slovakia,297.5
21,22,Czech Republic,296.7
22,23,Sweden,294.7
23,24,Italy,290.6
24,25,Croatia,287.2
25,26,Lithuania,285.8
26,27,Estonia,283.3
27,28,Greece,279.8
28,29,Spain,272.3
29,30,Finland,266.2
30,31,Uruguay,263.4
31,32,Belarus,260.7
32,33,Portugal,259.5
33,34,Iceland,257.8
34,35,France (Guadeloupe),254.6
35,36,United States (Puerto Rico),254.5
36,37,Moldova,254.2
37,38,Poland,253.8
38,39,Cyprus,250.8
39,40,France (Martinique),250.8
40,41,Malta,249.4
41,42,Singapore,248.9
42,43,Japan,248.0
43,44,Austria,247.7
44,45,Barbados,247.5
45,46,France (French Guiana),247.0
46,47,Bulgaria,242.8
47,48,Lebanon,242.8
48,49,France (French Polynesia),240.6
49,50,Israel,233.6
