name,roaster,roast,loc_country,origin,100g_USD,rating,review_date,review
Ethiopia Shakiso Mormora,Revel Coffee,Medium-Light,United States,Ethiopia,4.7,92,November 2017,"Crisply sweet, cocoa-toned. Lemon blossom, roasted cacao nib, date, rice candy, white peppercorn in aroma and cup. Savory-tart structure; delicate, silky mouthfeel. The richly drying finish leads with cocoa-toned, crisply sweet floral notes in the short and a hint of spice (white peppercorn) in the long."
Ethiopia Suke Quto,Roast House,Medium-Light,United States,Ethiopia,4.19,92,November 2017,"Delicate, sweetly spice-toned. Pink peppercorn, date, myrrh, lavender, roasted cacao nib in aroma and cup. Crisp, spice-toned structure with citrus-like acidity; satiny, very smooth mouthfeel. The crisply sweet finish centers around spice and pungent floral notes."
Ethiopia Gedeb Halo Beriti,Big Creek Coffee Roasters,Medium,United States,Ethiopia,4.85,94,November 2017,"Deeply sweet, subtly pungent. Honey, pear, tangerine zest, dark chocolate, pistachio in aroma and cup. Sweet and juicy yet crisp in structure (think ripe pear); plush and buoyant in mouthfeel. Resonant and flavor saturated in the short finish; simplifies around hints of tangerine and pistachio in the long."
Ethiopia Kayon Mountain,Red Rooster Coffee Roaster,Light,United States,Ethiopia,5.14,93,November 2017,"Delicate, richly and sweetly tart. Dried hibiscus, fine musk, almond, sandalwood, raspberry in aroma and cup. Fruit-toned, deeply sweet structure with gently-expressed acidity; buoyant, satiny-smooth mouthfeel. The crisp, flavor-saturated finish is characterized by sweet-tart fruit and floral tones (raspberry, hibiscus)."
Ethiopia Gelgelu Natural Organic,Willoughby's Coffee & Tea,Medium-Light,United States,Ethiopia,3.97,93,November 2017,"High-toned, floral. Dried apricot, magnolia, almond butter, maple syrup, cherry brandy in aroma and cup. Crisp, sweetly-tart in structure; plush, syrupy mouthfeel. Notes of magnolia and dried apricot dominate in the flavor-laden short finish, with hints of almond butter and fruit brandy in the long."
Ethiopia Hambela Alaka,Black Oak Coffee Roasters,Medium-Light,United States,Ethiopia,5.14,93,November 2017,"Very delicate, sweetly savory. Lemon verbena, allspice, dried persimmon, dogwood, baker’s chocolate in aroma and cup. Balanced, sweet-savory structure; velvety-smooth mouthfeel. The sweetly herb-toned finish centers on notes of lemon verbena and dried persimmon wrapped in baker’s chocolate."
Organic Ethiopia Kirite,Wonderstate Coffee,Medium-Light,United States,Ethiopia,5.29,93,November 2017,"High-toned, crisply sweet. Lemon blossom, apricot, frankincense, spearmint, roasted cacao nib in aroma and cup. Balanced, complete sweet-savory structure; satiny, full mouthfeel. Sweet spearmint notes carry the cocoa-toned finish, with hints of lemon blossom and apricot."
Ethiopia Sidama,Reunion Island Coffee,Medium,Canada,Ethiopia,3.76,94,November 2017,"Balanced, sweet-savory. Red currant, roasted cacao nib, clove, blood orange zest, frankincense in aroma and cup. Savory-sweet structure with lively acidity; syrupy mouthfeel. The resonant, spice-toned finish leads with intimations of clove and roasted cacao nib in the short, rounding to rich fruit tones with hints of frankincense in the long."
Decaf Ethiopia Sidamo,Old Soul Co.,Medium,United States,Ethiopia,5.73,90,November 2017,"Surprising and melodic, delicate yet vivid. Lilac and lemon blossom, fresh sweet grass, honey, moist pipe tobacco, fresh-cut elm in aroma and cup. In structure subtly and sweetly tart. Very light, silky mouthfeel. Unexpectedly rich and flavor-saturated in the finish: pipe tobacco, honey, lemon blossom."
Ethiopia Yirgacheffe Washed G1,A.R.C.,Medium-Light,Hong Kong,Ethiopia,6.87,92,November 2017,"Delicate, gently tart, spice-toned. Pomegranate, cocoa powder, lemon blossom, white peppercorn, hazelnut in aroma and cup. Lively, quietly complex structure; crisp, buoyant mouthfeel. The finish leads with gently drying notes of hazelnut and white peppercorn in the short and segues to cocoa-toned citrus blossoms in the long. "
