name,percentage,ufnosc
Rafał Trzaskowski,31.2,Zdecydowanie ufa
Rafał Trzaskowski,17.7,Raczej ufa
Rafał Trzaskowski,13,Obojętność
Rafał Trzaskowski,8.6,Raczej nie ufa
Rafał Trzaskowski,26.2,Zdecydowanie nie ufa
Szymon Hołownia,11.9,Zdecydowanie ufa
Szymon Hołownia,33.1,Raczej ufa
Szymon Hołownia,22.7,Obojętność
Szymon Hołownia,13.2,Raczej nie ufa
Szymon Hołownia,17.2,Zdecydowanie nie ufa
Andrzej Duda,22.3,Zdecydowanie ufa
Andrzej Duda,19.2,Raczej ufa
Andrzej Duda,11.9,Obojętność
Andrzej Duda,10.6,Raczej nie ufa
Andrzej Duda,35.9,Zdecydowanie nie ufa
Donald Tusk,22.5,Zdecydowanie ufa
Donald Tusk,18.1,Raczej ufa
Donald Tusk,10.1,Obojętność
Donald Tusk,18.1,Raczej nie ufa
Donald Tusk,31.1,Zdecydowanie nie ufa
Władysław Kosiniak-Kamysz,11.2,Zdecydowanie ufa
Władysław Kosiniak-Kamysz,29.2,Raczej ufa
Władysław Kosiniak-Kamysz,24.3,Obojętność
Władysław Kosiniak-Kamysz,16.4,Raczej nie ufa
Władysław Kosiniak-Kamysz,16.2,Zdecydowanie nie ufa
Robert Biedroń,6.2,Zdecydowanie ufa
Robert Biedroń,28.1,Raczej ufa
Robert Biedroń,23.1,Obojętność
Robert Biedroń,11.7,Raczej nie ufa
Robert Biedroń,29,Zdecydowanie nie ufa
Mateusz Morawiecki,17.4,Zdecydowanie ufa
Mateusz Morawiecki,16.6,Raczej ufa
Mateusz Morawiecki,7,Obojętność
Mateusz Morawiecki,14.2,Raczej nie ufa
Mateusz Morawiecki,44.7,Zdecydowanie nie ufa
Włodzimierz Czarzasty,8.6,Zdecydowanie ufa
Włodzimierz Czarzasty,23.1,Raczej ufa
Włodzimierz Czarzasty,23.6,Obojętność
Włodzimierz Czarzasty,11.5,Raczej nie ufa
Włodzimierz Czarzasty,21.5,Zdecydowanie nie ufa
Tomasz Grodzki,14.7,Zdecydowanie ufa
Tomasz Grodzki,16.5,Raczej ufa
Tomasz Grodzki,20.1,Obojętność
Tomasz Grodzki,7.8,Raczej nie ufa
Tomasz Grodzki,26.3,Zdecydowanie nie ufa
Elżbieta Witek,14.7,Zdecydowanie ufa
Elżbieta Witek,15.4,Raczej ufa
Elżbieta Witek,14,Obojętność
Elżbieta Witek,9.9,Raczej nie ufa
Elżbieta Witek,38,Zdecydowanie nie ufa
